,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,description
5,giveaway,Alex Biega,[-31.  13.],1,18:39,DET,PHI,DET,17,PHI,4,0,0,8473415,Giveaway by Alex Biega
9,giveaway,Filip Hronek,[97. 11.],1,17:12,DET,PHI,DET,17,PHI,4,0,0,8479425,Giveaway by Filip Hronek
23,giveaway,Trevor Daley,[-38.  38.],1,13:00,DET,PHI,DET,17,PHI,4,0,0,8470110,Giveaway by Trevor Daley
39,giveaway,Justin Abdelkader,[ 47. -28.],1,09:05,DET,PHI,DET,17,PHI,4,0,0,8471716,Giveaway by Justin Abdelkader
56,giveaway,Madison Bowey,[80. 26.],1,04:43,DET,PHI,DET,17,PHI,4,0,0,8477474,Giveaway by Madison Bowey
97,giveaway,Travis Sanheim,[-31.  -2.],2,11:32,PHI,DET,DET,17,PHI,4,0,0,8477948,Giveaway by Travis Sanheim
124,giveaway,Philippe Myers,[-84.  17.],2,04:39,PHI,DET,DET,17,PHI,4,0,1,8479026,Giveaway by Philippe Myers
128,giveaway,Dennis Cholowski,[-86.  -9.],2,04:01,DET,PHI,DET,17,PHI,4,0,1,8479395,Giveaway by Dennis Cholowski
136,giveaway,Ivan Provorov,[58. 26.],2,01:40,PHI,DET,DET,17,PHI,4,0,1,8478500,Giveaway by Ivan Provorov
162,giveaway,Jonathan Bernier,[96. -2.],3,14:31,DET,PHI,DET,17,PHI,4,0,2,8473541,Giveaway by Jonathan Bernier
163,giveaway,Michael Raffl,[97. -5.],3,14:17,PHI,DET,DET,17,PHI,4,0,2,8477290,Giveaway by Michael Raffl
165,giveaway,Andreas Athanasiou,[-76.  13.],3,13:13,DET,PHI,DET,17,PHI,4,0,2,8476960,Giveaway by Andreas Athanasiou
180,giveaway,Travis Sanheim,[-97. -11.],3,10:55,PHI,DET,DET,17,PHI,4,0,2,8477948,Giveaway by Travis Sanheim
184,giveaway,Jakub Voracek,[-40. -37.],3,08:57,PHI,DET,DET,17,PHI,4,0,2,8474161,Giveaway by Jakub Voracek
186,giveaway,Robby Fabbri,[45. 16.],3,08:21,DET,PHI,DET,17,PHI,4,0,2,8477952,Giveaway by Robby Fabbri
191,giveaway,Robert Hagg,[-41.  36.],3,07:04,PHI,DET,DET,17,PHI,4,0,2,8477462,Giveaway by Robert Hagg
193,giveaway,Filip Hronek,[77.  2.],3,06:00,DET,PHI,DET,17,PHI,4,0,2,8479425,Giveaway by Filip Hronek
53,takeaway,Jakub Voracek,[ -9. -13.],1,05:18,PHI,DET,DET,17,PHI,4,0,0,8474161,Takeaway by Jakub Voracek
76,takeaway,Travis Sanheim,[72. 29.],2,17:58,PHI,DET,DET,17,PHI,4,0,0,8477948,Takeaway by Travis Sanheim
132,takeaway,Andreas Athanasiou,[20. -8.],2,02:43,DET,PHI,DET,17,PHI,4,0,1,8476960,Takeaway by Andreas Athanasiou
157,takeaway,Kevin Hayes,[-37. -11.],3,17:19,PHI,DET,DET,17,PHI,4,0,1,8475763,Takeaway by Kevin Hayes
171,takeaway,Robby Fabbri,[-76.  -1.],3,12:31,DET,PHI,DET,17,PHI,4,0,2,8477952,Takeaway by Robby Fabbri
205,takeaway,Kevin Hayes,[-91.  27.],3,01:23,PHI,DET,DET,17,PHI,4,0,3,8475763,Takeaway by Kevin Hayes
27,giveaway,Colin Miller,[-26. -36.],1,11:01,BUF,DET,BUF,7,DET,17,0,1,8476525,Giveaway by Colin Miller
43,giveaway,Conor Sheary,[70. 10.],1,05:52,BUF,DET,BUF,7,DET,17,0,1,8477839,Giveaway by Conor Sheary
50,giveaway,Patrik Nemeth,[ 91. -29.],1,04:08,DET,BUF,BUF,7,DET,17,0,1,8475747,Giveaway by Patrik Nemeth
69,giveaway,Andreas Athanasiou,[ 48. -17.],2,17:16,DET,BUF,BUF,7,DET,17,0,2,8476960,Giveaway by Andreas Athanasiou
89,giveaway,Brandon Montour,[ 34. -25.],2,11:00,BUF,DET,BUF,7,DET,17,0,2,8477986,Giveaway by Brandon Montour
94,giveaway,Luke Glendening,[-66. -13.],2,10:07,DET,BUF,BUF,7,DET,17,0,2,8476822,Giveaway by Luke Glendening
105,giveaway,Adam Erne,[-52.  14.],2,04:44,DET,BUF,BUF,7,DET,17,0,2,8477454,Giveaway by Adam Erne
125,giveaway,Jack Eichel,[-85. -25.],3,19:29,BUF,DET,BUF,7,DET,17,0,2,8478403,Giveaway by Jack Eichel
126,giveaway,Marcus Johansson,[-33.  34.],3,18:54,BUF,DET,BUF,7,DET,17,0,2,8475149,Giveaway by Marcus Johansson
167,giveaway,Dylan Larkin,[-72. -39.],3,07:20,DET,BUF,BUF,7,DET,17,2,2,8477946,Giveaway by Dylan Larkin
178,giveaway,Tyler Bertuzzi,[83. 31.],3,02:35,DET,BUF,BUF,7,DET,17,2,3,8477479,Giveaway by Tyler Bertuzzi
11,takeaway,Christoffer Ehn,[16.  2.],1,16:39,DET,BUF,BUF,7,DET,17,0,0,8478036,Takeaway by Christoffer Ehn
35,takeaway,Evan Rodrigues,[ 98. -14.],1,07:56,BUF,DET,BUF,7,DET,17,0,1,8478542,Takeaway by Evan Rodrigues
49,takeaway,Scott Wilson,[ 59. -40.],1,05:03,BUF,DET,BUF,7,DET,17,0,1,8476293,Takeaway by Scott Wilson
97,takeaway,Dylan Larkin,[ 7. -2.],2,07:05,DET,BUF,BUF,7,DET,17,0,2,8477946,Takeaway by Dylan Larkin
136,takeaway,Andreas Athanasiou,[-11.  32.],3,15:38,DET,BUF,BUF,7,DET,17,0,2,8476960,Takeaway by Andreas Athanasiou
140,takeaway,Jack Eichel,[-33.  30.],3,14:29,BUF,DET,BUF,7,DET,17,0,2,8478403,Takeaway by Jack Eichel
172,takeaway,Henri Jokiharju,[-63. -35.],3,04:44,BUF,DET,BUF,7,DET,17,2,3,8480035,Takeaway by Henri Jokiharju
