"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,53.42,0,12.13,16.46,17.17,12.07,0,7.7,7.17,51.9,11.94,60.58,15.47,74.63,0.74,5.4,-7.7,-44.74,-48.64,-59.17,-4.66,0,85.15
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.12,20.73,20.36,19.1,20.76,16.32,1.24,4.75,13.49,52.76,14.59,61.8,18.97,72.41,0.91,4.66,-3.51,-39.27,-47.21,-53.44,-3.75,9.22,90.99
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,173.17,26.92,17.22,18.58,15.97,15.04,2.14,5.82,13.48,64.83,19.02,83.35,20.14,105.97,1.33,7.54,-3.68,-51.35,-64.33,-85.83,-6.2,15.91,91.02
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,184.72,10.59,30.67,25.53,22.45,17.36,0.71,5.98,18.16,41.05,21.13,61.63,23.6,81.51,1.09,5.18,-5.27,-22.89,-40.5,-57.91,-4.09,3.9,85.43
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,133.22,7.76,22.66,21.5,19.1,17.1,0.9,10.71,17.67,60.32,21.41,78.18,23.75,100.64,1.74,8.43,-9.8,-42.65,-56.77,-76.88,-6.69,5.1,82.25
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,57.12,14.4,11.46,12.27,11.32,13.64,0.91,5.43,6.61,51.05,10.26,73.38,12.41,97.14,0.88,5.59,-4.52,-44.44,-63.12,-84.74,-4.71,13.83,89.36
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,73.5,0,8.31,7.11,9.26,4.25,0,6.86,4.6,50.78,5.38,70.26,9.29,91.03,0.24,5.33,-6.86,-46.17,-64.88,-81.74,-5.09,0,86.5
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,136.15,9.01,10.53,9.4,8.12,6.54,0.52,5.25,5.56,47.19,6.77,65.23,8.1,91.58,0.36,5.1,-4.73,-41.64,-58.46,-83.49,-4.75,9.36,88.88
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,97.13,0,13.69,13.92,14.11,11.29,0,5.89,8.22,51.83,11.35,70.16,13.94,84.87,0.78,6.12,-5.89,-43.61,-58.81,-70.93,-5.34,0,88.64
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,147.85,4.7,13.01,10.18,9.83,4.44,0.35,7.16,8.06,53.93,8.49,74.86,10.47,96.03,0.3,6.46,-6.81,-45.87,-66.38,-85.57,-6.16,4.38,86.73
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,137.72,13.41,11.37,11.84,10.1,7.93,0.92,5.96,7.14,55.68,10.41,77.51,11.45,101.99,0.58,6.73,-5.04,-48.54,-67.1,-90.53,-6.15,12.93,89.29
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,132.57,22.13,12.88,14.45,13.41,15.24,1.78,6.26,6.26,42.39,10.38,61.46,13.1,84.59,1.19,6.59,-4.48,-36.12,-51.08,-71.5,-5.41,28.4,85.23
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,217.52,11.99,10.92,10.9,9.97,6.93,0.83,6.11,6.34,51.73,8,65.39,10.17,91.84,0.45,6.08,-5.28,-45.39,-57.39,-81.67,-5.62,13.13,88.18
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,119.17,0,9.79,10.29,7.49,10.28,0,5.81,5.48,50.53,7.09,61.84,7.73,95.51,0.55,4.79,-5.81,-45.05,-54.75,-87.78,-4.24,0,88.5
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,121.9,8.85,11.88,9.57,7.78,6.1,0.53,5.47,7.63,56.64,8.09,76.39,9.45,112.06,0.43,6.66,-4.94,-49.01,-68.3,-102.61,-6.23,6.96,90.34
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,0,7.49,6.41,7.87,4.2,0,8.74,5.14,63.49,5.75,83.94,10.24,119.92,0.32,7.2,-8.74,-58.35,-78.2,-109.68,-6.89,0,86.24
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,42,58.67,12.85,7.33,6.18,5.25,9.77,1.21,8.18,3.3,41.78,4.37,66.34,5.36,96.76,0.56,5.2,-6.97,-38.47,-61.97,-91.41,-4.63,36.53,80.42
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,282.18,14.31,14.99,14.55,13.38,10.55,0.67,4.02,8.29,47.01,10.73,63.01,12.82,83.02,0.58,4.92,-3.35,-38.72,-52.28,-70.2,-4.34,8.1,91.44
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,143.1,0,8.44,7.34,5.96,5.13,0,5.48,5.29,57.37,6.21,78.47,7.16,112.95,0.38,6.99,-5.48,-52.08,-72.26,-105.79,-6.61,0,90.45
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,171.18,12.05,7.71,6.78,7.27,5.62,1.11,8.13,4.94,59.07,6.03,82.87,8.43,107.49,0.43,7.24,-7.02,-54.14,-76.85,-99.06,-6.81,22.59,86.23
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,127.87,4.67,11.04,10.41,8.58,9.1,0.47,9.67,7.18,57.87,9.67,83.16,10.07,107.27,0.74,7.36,-9.19,-50.69,-73.49,-97.2,-6.62,6.6,83.3
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,143.82,0,15.13,11.3,10.16,10.55,0,5.74,8.68,48.72,9.42,73.97,10.9,96.37,0.73,6.22,-5.74,-40.03,-64.55,-85.47,-5.49,0,88.22
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,181.77,0,6.49,7.06,6.61,6.3,0,6.2,3.44,49.64,5.4,71.14,7.01,99.05,0.38,5.69,-6.2,-46.2,-65.74,-92.04,-5.31,0,87.5
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,219,4.59,8.46,6.97,5.17,3.46,0.25,5.3,4.45,48.19,5.27,70.32,5.56,101.91,0.2,5.66,-5.05,-43.74,-65.05,-96.35,-5.46,5.72,89
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,149.32,0,7.85,7.07,6.17,6.02,0,8.15,4.77,56,6.41,84.27,7.13,108.47,0.46,7.15,-8.15,-51.23,-77.86,-101.34,-6.69,0,85.45
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,227.05,5.43,16.74,16.01,13.8,8.37,0.27,4.65,8.74,43.5,11.27,59.11,13.5,84.35,0.5,5.44,-4.38,-34.76,-47.84,-70.85,-4.94,3.05,89.31
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,72,130.22,39.79,27.17,25.35,21.47,27.8,2.76,4.18,15.73,42.17,19.14,56.39,21.53,78.77,2.02,5.25,-1.42,-26.44,-37.24,-57.24,-3.23,17.57,90.08
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,67.25,32.59,25.94,26.51,23.2,24.34,4.43,9.15,12.98,37.06,17.85,49.49,23.11,76.51,1.57,4.88,-4.73,-24.08,-31.64,-53.4,-3.31,34.09,75.3
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,161.75,38.54,17.33,16.77,14.58,12.87,2.17,3.46,8.97,42.8,12.67,62.85,14.22,83.34,0.77,5.2,-1.29,-33.83,-50.18,-69.12,-4.43,24.19,91.91
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,74,133.13,6.21,6.86,6.88,5.64,8.03,0.53,8.04,4.11,55.74,5.42,73.35,5.84,97.68,0.59,6.76,-7.5,-51.63,-67.93,-91.85,-6.17,12.95,85.58
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,77,201.77,16.99,11.15,11.04,9.35,13,0.91,4.45,6.26,49.86,8.79,70.81,10,96.93,0.97,6.49,-3.54,-43.61,-62.02,-86.93,-5.52,14.54,91.08
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,173.3,17.85,11.22,8.53,8.78,9.24,1.13,5.18,6.39,50.56,6.78,72.62,9.01,93.63,0.67,6.56,-4.05,-44.17,-65.84,-84.62,-5.9,17.61,89.76
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,55,56.28,65.65,32.14,24.83,24.28,18.9,2.06,1.08,20.41,43.08,22.44,67.94,28,87.31,1.55,6.63,0.98,-22.68,-45.5,-59.32,-5.09,10.08,97.5
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,67.77,9.51,16.29,13.56,10.59,11.84,1.04,9.94,11.21,57.61,13.04,83.1,13.01,109.84,1.22,9.1,-8.9,-46.4,-70.06,-96.83,-7.88,9.32,82.74
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,79,88.17,8.68,11.63,12.52,10.54,9.18,0.63,6.66,7.93,60.32,10.64,74.29,11.23,95.33,0.67,6.6,-6.03,-52.39,-63.65,-84.1,-5.93,7.98,88.96
