"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,68.28,24.4,51.38,56,51.91,64.27,0.89,2.75,30.5,28.87,43.54,34.21,55.68,51.58,2.75,1.53,-1.86,1.63,9.33,4.09,1.22,2.91,90.47
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,125.68,67.51,41.38,39.94,40.27,39.82,1.91,0.92,24.45,34.65,31.58,47.5,41.32,61.3,1.69,2.55,0.99,-10.19,-15.92,-19.98,-0.86,7.83,97.34
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,94.02,33.44,49.06,50.64,48.87,47.84,1.31,2.6,28.59,29.68,38.85,37.87,49.32,51.59,2.19,2.39,-1.3,-1.09,0.98,-2.27,-0.2,4.58,91.23
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,256.93,45.78,51.85,52.61,52.36,46.99,1.42,1.68,27.69,25.71,38.49,34.67,47.4,43.12,1.7,1.91,-0.26,1.98,3.82,4.27,-0.22,5.12,93.47
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1766.62,59.96,57.82,56.61,57.07,58.74,2.93,1.96,34.78,25.38,45.59,34.94,59.18,44.51,2.78,1.95,0.97,9.4,10.65,14.67,0.83,8.43,92.29
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1690.82,60.69,56.43,55.41,55.96,57.83,3.29,2.13,31.34,24.2,42.34,34.07,54.45,42.84,2.94,2.14,1.16,7.14,8.27,11.61,0.8,10.51,91.18
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1459.28,46.49,55.24,55.4,56.71,53,2.21,2.54,35.47,28.75,48.02,38.66,63.21,48.24,2.81,2.49,-0.33,6.72,9.36,14.96,0.32,6.22,91.17
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1917.9,53.04,48.15,48.85,48.87,47.7,3.6,3.19,34.88,37.56,47.86,50.11,60.62,63.41,3.26,3.57,0.41,-2.68,-2.25,-2.79,-0.31,10.33,91.51
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1938.82,49.07,51.97,49.96,49.34,47.24,3.51,3.65,33.43,30.9,43.9,43.97,55.82,57.31,2.9,3.24,-0.13,2.53,-0.07,-1.49,-0.34,10.51,88.2
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1537.92,49.5,51.71,51.92,51.53,47.4,3.62,3.69,33.68,31.45,43.83,40.59,57.13,53.73,2.84,3.15,-0.07,2.23,3.24,3.4,-0.31,10.75,88.26
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,153.2,24.46,37.93,44.71,48.19,49.79,1.19,3.67,20.03,32.78,32.76,40.51,51.17,55.01,2.3,2.32,-2.48,-12.75,-7.75,-3.85,-0.02,5.92,88.82
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,66.13,0,52.16,56.62,54.81,56.98,0,0.9,28.84,26.46,48.62,37.25,65.26,53.8,2.7,2.04,-0.9,2.39,11.37,11.46,0.66,0,96.6
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,81.53,55.08,45.18,45.09,46.45,48.23,3.63,2.96,22.12,26.85,32.51,39.59,47.98,55.31,2.2,2.36,0.67,-4.72,-7.08,-7.33,-0.16,16.4,88.98
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,415.85,55.4,49.75,48.78,50.42,46.52,3.03,2.44,28.35,28.64,36.99,38.83,52.81,51.93,2.26,2.6,0.59,-0.29,-1.84,0.88,-0.34,10.7,91.48
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,537.38,63.43,45.37,47.53,47.25,45.97,2.98,1.72,25.38,30.57,36.28,40.06,45.89,51.24,2.06,2.42,1.26,-5.19,-3.77,-5.35,-0.36,11.74,94.38
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,267.93,48.03,52.41,52.93,53.05,51.01,2.46,2.66,31.83,28.91,44.88,39.91,58.71,51.95,2.38,2.29,-0.2,2.92,4.97,6.76,0.09,7.72,90.81
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,373.7,41.89,41.86,42.36,41.14,41.73,2.17,3.02,25.53,35.47,35.95,48.91,47.01,67.26,2.34,3.26,-0.84,-9.93,-12.96,-20.25,-0.93,8.51,91.5
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,924.4,41.12,45.69,46,45.26,49.78,2.27,3.25,26.52,31.53,35.84,42.07,47.14,57.01,2.4,2.42,-0.98,-5.01,-6.24,-9.87,-0.02,8.56,89.69
