"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0.72,13.31,4,10,29,61,9,12,35,0,2
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,0.79,15.19,4,7,19,58,6,15,29,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,2.38,48.18,4,22,150,87,7,34,223,0,1
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,2.34,51.1,3,33,135,89,11,52,195,0,3
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,2.07,45.58,2,15,79,93,4,20,122,0,1
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,1.6,23.7,3,6,19,54,3,16,24,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,1.36,26.81,1,5,40,53,3,11,53,0,1
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,2.5,34.83,2,21,50,130,8,36,70,0,2
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,1.77,28.29,3,13,56,84,5,23,75,0,1
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,2.4,38.32,2,26,61,93,6,48,95,1,1
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,142.9,2.23,37.01,1,10,84,63,6,23,129,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,138.35,2.34,35.04,6,14,66,116,8,32,89,1,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,223.73,2.8,37.09,8,71,125,159,15,88,149,0,0
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,120.92,1.83,28.28,3,14,117,93,5,25,142,0,1
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,122.9,1.95,32.6,0,17,110,57,5,23,152,0,0
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,1.48,24.25,3,7,76,66,3,11,98,0,0
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,43,58.72,1.37,25.72,3,8,37,60,4,15,46,0,1
