"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,0,0,0.94,0.94,5.64,6.58,7.52,0.67,0,0,10.14,2.82,1.88,0.94,3.76,5.64,0.94,0.94,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,0,0.98,0.49,1.47,6.38,7.36,9.81,0.32,0,0,4.4,2.45,0.98,1.47,14.23,7.85,3.44,2.45,0.49,0.49,-0.98,0.49,0.98,-0.49
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,0.64,0.64,0,1.28,5.76,7.04,8.96,0.81,11.11,9.09,11.45,3.2,0.64,2.56,12.79,12.79,4.48,1.28,0,0,-3.2,1.28,1.92,-0.64
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,0,0.71,0,0.71,3.54,4.48,5.19,0.41,0,0,9.05,1.41,0.94,0.71,18.39,11.31,4.95,2.12,2.12,2.12,-2.83,0,0,0
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,0.24,0.32,0.32,0.89,5.09,6.95,10.34,0.18,4.76,3.49,2.65,2.91,1.53,0.85,4.04,5.13,0.44,0.4,0,0,-0.04,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,0.52,0.26,0.35,1.13,5.83,7.62,9.93,0.28,8.96,6.86,3.61,2.31,1.61,0.87,3.4,5.01,0.61,0.26,0.04,0.04,-0.35,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,0.25,0.15,0.2,0.6,7.83,10.45,13.56,0.35,3.21,2.4,3.38,2.91,2.56,1.16,4.17,3.82,1.1,0.7,0,0,-0.4,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,0.44,0.12,0.36,0.92,5.6,8.6,11.64,0.32,7.86,5.12,3.69,3.88,3.16,1.2,2.44,2.2,0.84,0.32,0.08,0.08,-0.52,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,0.31,0.23,0.42,0.96,4.95,6.57,8.98,0.23,6.2,4.68,3.46,2.88,3.84,1.46,3.88,4.11,0.46,0.35,0,0,-0.12,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,0.24,0.8,0.47,1.51,5.77,7.33,10.31,0.26,4.1,3.23,3.61,3.41,3.17,1.51,1.42,2.41,0.38,0.38,0,0,0,0,0,0
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,143.03,0,0,0.84,0.84,3.36,7.55,10.49,0.33,0,0,4.33,1.68,0,1.68,5.03,4.61,0,0,0,0,0,11.75,9.65,2.1
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.65,0,0,0,0,5.48,8.23,10.97,0.58,0,0,7.11,3.66,0,0.91,0.91,6.4,0,0,0,0,0,16.45,19.19,-2.74
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,2.46,0,0,2.46,9.01,11.46,13.92,0.95,27.27,21.43,8.29,2.46,0.82,3.28,5.73,5.73,0.82,0.82,0,0,0,22.11,19.65,2.46
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,342.2,0,0,0.18,0.18,2.28,3.16,5.96,0.05,0,0,1.72,4.38,2.28,2.28,6.31,6.66,2.28,0.7,0,0,-1.58,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,460.53,0.39,0.13,0.52,1.04,3.26,5.34,7.17,0.14,12,7.32,2.63,3.26,1.17,0.91,4.82,4.95,1.3,0.52,0.13,0.26,-0.65,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,253.17,0.24,0.47,0,0.71,3.08,5.21,7.82,0.11,7.69,4.55,2.14,2.84,1.18,0.95,6.16,5.69,1.42,0.47,0,0,-0.95,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,301.17,0.4,0.2,0.4,1,3.59,5.78,7.97,0.2,11.11,6.9,3.38,4.98,3.39,1.99,7.37,5.38,1,0.6,0,0,-0.4,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,793.07,0.15,0.38,0.53,1.06,3.78,5.52,7.26,0.18,4,2.74,3.19,4.54,1.36,1.21,6.43,6.66,0.38,0.61,0,0,0.23,0,0,0
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,138.4,0,0,0,0,3.47,4.77,9.97,0.09,0,0,1.91,1.73,3.03,0,7.8,9.1,1.73,0.43,0,0,-1.3,0,0,0
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,66.07,0,0,0,0,2.72,4.54,7.27,0.09,0,0,2,5.45,0,0.91,5.45,7.27,0,0.91,0,0,0.91,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,828.23,0.07,0.07,0.51,0.65,1.88,3.12,4.64,0.08,3.85,2.33,2.49,4.35,2.03,0.87,2.39,5.22,0.58,0.22,0,0.07,-0.29,0,0,0
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,149.23,0,0,0,0,2.01,4.82,6.84,0.2,0,0,4.17,6.84,0.4,0.8,0.8,5.63,0.4,0,0,0,-0.4,0,0,0
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,273.02,0.22,0,0.44,0.66,5.05,6.81,10.33,0.2,4.35,3.23,2.97,5.49,1.54,0.66,2.86,6.59,0.88,0.44,0,0,-0.44,0,0,0
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,0,0,1.23,1.23,4.93,8.01,11.09,0.22,0,0,2.77,4.31,1.23,0,2.47,5.55,0,0,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,94.7,0,0,0.63,0.63,1.27,1.27,1.9,0.01,0,0,1,5.07,1.27,0.63,0.63,8.87,2.53,0,0,0,-2.53,0,0,0
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,292.63,0,0.21,0,0.21,2.26,3.9,5.54,0.06,0,0,1.53,3.9,1.44,0.21,3.28,10.05,0,0.82,0,0,0.82,0,0,0
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,282.68,0.21,0.21,0.64,1.06,7.85,10.61,14.65,0.51,2.7,2,4.82,2.33,1.06,1.91,5.94,10.61,0.64,1.7,0,0,1.06,0,0.85,-0.85
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,263.12,0.46,0.68,0.91,2.05,6.16,7.98,10.49,0.39,7.41,5.71,4.89,2.74,1.14,1.82,7.3,7.53,0.46,2.05,0,0,1.6,0.46,1.14,-0.68
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,259.82,0.23,0,0.23,0.46,3,4.85,6.7,0.09,7.69,4.76,1.9,3.69,0.92,0.46,7.39,5.08,0.92,0.46,0.69,0.69,-0.46,0,0,0
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,113.35,0,0.53,0,0.53,3.18,5.29,6.88,0.07,0,0,1.4,2.65,0.53,0.53,6.35,5.82,0,0,0,0,0,0,0,0
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,678.53,0,0.09,0.27,0.35,3.71,5.48,9.55,0.13,0,0,2.39,3.89,1.33,0.53,4.95,6.72,0.62,0.27,0.18,0.09,-0.44,0,0,0
