"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,0,0,1,1,6,7,8,0.71,0,0,10.14,3,2,1,4,6,1,1,0,0,0,0,0,0
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,0,2,1,3,13,15,20,0.66,0,0,4.4,5,2,3,29,16,7,5,1,1,-2,1,2,-1
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,1,1,0,2,9,11,14,1.26,11.11,9.09,11.45,5,1,4,20,20,7,2,0,0,-5,2,3,-1
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,0,3,0,3,15,19,22,1.72,0,0,9.05,6,4,3,78,48,21,9,9,9,-12,0,0,0
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1407.25,6,8,8,22,115,153,230,3.96,5.22,3.92,2.59,67,36,19,98,123,10,10,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1318.98,9,6,8,23,120,160,208,5.53,7.5,5.62,3.46,50,36,18,78,114,14,5,1,1,-9,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1132.35,4,3,4,11,146,189,248,5.69,2.74,2.12,3.01,56,48,22,81,75,22,14,0,0,-8,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1451.17,9,2,9,20,130,202,273,6.71,6.92,4.46,3.32,95,77,28,59,54,19,8,1,1,-11,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1498.22,7,6,9,22,126,166,227,5.58,5.56,4.22,3.36,73,98,38,99,102,12,9,0,0,-3,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1220.55,4,17,10,31,116,147,206,5.02,3.45,2.72,3.41,71,67,32,29,51,6,8,0,0,2,0,0,0
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,142.23,0,0,2,2,8,18,25,0.78,0,0,4.33,4,0,4,12,11,0,0,0,0,0,27,23,4
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.33,0,0,0,0,6,9,12,0.64,0,0,7.11,4,0,1,1,7,0,0,0,0,0,18,21,-3
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,3,0,0,3,11,14,17,1.16,27.27,21.43,8.29,3,1,4,7,7,1,1,0,0,0,27,24,3
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,334.18,0,0,1,1,13,18,34,0.31,0,0,1.72,24,13,13,36,37,13,4,0,0,-9,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,448.45,3,1,3,7,24,40,54,1.05,12.5,7.5,2.63,25,9,6,34,38,10,4,1,2,-5,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,251.78,1,2,0,3,13,22,33,0.47,7.69,4.55,2.14,12,5,4,26,24,6,2,0,0,-4,0,0,0
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,286.3,1,1,2,4,16,26,37,0.9,6.25,3.85,3.46,23,16,9,37,25,5,3,0,0,-2,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,773.4,2,5,7,14,49,71,93,2.16,4.08,2.82,3.04,57,17,16,84,87,5,8,0,0,3,0,0,0
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,133.28,0,0,0,0,8,11,22,0.21,0,0,1.91,4,7,0,18,21,4,1,0,0,-3,0,0,0
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,64.25,0,0,0,0,3,5,8,0.1,0,0,2,6,0,1,6,8,0,1,0,0,1,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,802.02,1,1,7,9,25,42,62,1.06,4,2.38,2.52,60,28,10,32,72,8,3,0,1,-4,0,0,0
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,143.98,0,0,0,0,5,11,16,0.38,0,0,3.45,17,1,2,2,14,1,0,0,0,-1,0,0,0
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,264.7,1,0,2,3,22,30,46,0.82,4.55,3.33,2.73,23,7,2,13,29,4,2,0,0,-2,0,0,0
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,0,0,2,2,8,13,18,0.36,0,0,2.77,7,2,0,4,9,0,0,0,0,0,0,0,0
