"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,2.73,54.79,31.7,5.69,1.63,13.82,57.99,9.21,4.34,1.35,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,2.87,50.92,25.28,5.22,2.2,19.51,47.54,11.54,3.85,0.55,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,2.8,49.25,27.23,5.77,1.6,24.03,53.18,11.85,2.88,0.32,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,2.17,41.28,25.95,11.07,2.42,30.45,47.4,16.61,3.11,0.69,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,1.68,32.01,20,11.3,3.04,48.26,37.83,18.26,3.91,0.43,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,1.43,28.12,22.52,6.26,3.13,54.43,39.42,12.51,8.13,3.13,0.63
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,1.84,25.28,18.48,22.83,2.17,32.61,27.17,28.26,4.35,1.09,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,1.36,21.76,36.22,13.68,3.22,37.02,47.48,20.93,3.22,0,0
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,1.56,22.99,27.08,6.41,4.28,42.04,39.19,9.98,6.41,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,1.69,25.93,17.49,9.59,4.51,48.53,34.42,17.49,6.21,0.56,0.56
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,87.02,2.12,39.06,24.13,5.52,0.69,29.65,49.64,10.34,2.76,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,136.88,1.98,37.78,23.67,4.38,1.32,41.64,42.96,7.45,2.63,0.88,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.63,1.42,27.64,28.97,6.26,0.78,43.85,37.58,10.18,1.57,0.78,0
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.62,1.55,28.42,33.47,6.69,2.68,50.21,45.53,10.71,6.69,3.35,0
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.5,1.64,31.21,15.56,6.03,2.01,56.74,22.09,13.56,4.52,0.5,0
