"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0,0,0,0,1.09,1.09,3.27,0.01,0,0,1,4.36,1.09,3.27,1.09,1.09,0,1.09,0,0,1.09,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,1.13,0,0,1.13,3.4,3.4,5.67,0.2,33.33,33.33,6,4.54,2.27,1.13,1.13,3.4,2.27,1.13,0,0,-1.13,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,0,0,0,0,1.66,1.99,2.32,0.05,0,0,2.67,5.3,2.98,1.66,1.66,0.99,0,0,0.33,0.33,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,0,0,0,0,3.84,4.16,5.12,0.1,0,0,2.38,3.52,2.88,2.88,2.88,0.32,1.6,0.96,0,0,-0.64,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,0,0.44,0,0.44,2.67,3.11,4,0.04,0,0,1.43,3.56,2.67,1.78,1.78,1.33,1.33,0,0,0,-1.33,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0.99,2.96,0.99,0.99,0,0,0,-0.99,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0.8,7.22,2.41,1.6,0,0,0,-1.6,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,0,0,0,0,0.42,0.84,0.84,0,0,0,0.5,8.41,0.42,1.26,1.68,0.84,0.84,0,0,0,-0.84,0,0,0
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,0,0,0,0,0,0,0,0,0,0,0,4.23,2.42,0,0,0.6,0,0.6,0,0,0.6,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,0,0,0,0,0.78,0.78,0.78,0,0,0,0.5,11.71,0,0,4.68,0.78,0.78,0.39,0,0,-0.39,0,0,0
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,142.9,0.42,0,0,0.42,0.84,0.84,0.84,0.03,50,50,4,7.98,2.1,0,6.72,1.26,0.84,0,0,0.42,-0.42,0,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,138.35,0,0,0.43,0.43,0.43,0.43,0.43,0,0,0,1,10.84,0.87,0,6.94,1.73,0.43,0.43,0,0,0,0,0,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,223.73,0.27,0,0,0.27,1.61,1.88,2.41,0.13,16.67,14.29,6.86,9.39,0.27,1.07,1.07,1.34,1.61,1.34,0.27,0.27,-0.27,8.31,15.02,-6.7
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,120.92,0,0,0,0,2.98,3.97,3.97,0.28,0,0,7,8.44,0,1.98,0.99,1.98,0.99,0,0,0,-0.99,5.95,10.42,-4.47
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,122.9,0,0,0,0,2.93,3.42,3.91,0.16,0,0,4.57,9.28,0,0.98,0.49,0.98,0.49,0,0,0,-0.49,27.83,28.8,-0.98
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,0,0,0,0,1.93,2.58,4.51,0.21,0,0,8.25,10.96,1.93,2.58,0.64,0,1.29,0.64,0,0,-0.64,26.44,23.86,2.58
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,43,58.72,1.02,0,0,1.02,2.04,2.04,3.07,0.48,50,50,23.5,7.15,0,1.02,1.02,1.02,0,1.02,0,0,1.02,22.48,10.22,12.26
