"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,53.42,0.69,13.51,3.37,11.23,28.08,68.51,7.86,13.48,33.7,0,2.25
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.12,0.78,15.56,4.6,8.06,21.87,65.62,6.91,17.27,33.38,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,173.17,2.28,47.93,1.39,7.62,49.55,30.14,2.43,11.78,72.07,0,0.35
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,184.72,2.31,52.49,0.97,10.72,42.88,28.26,3.57,16.89,62.36,0,0.97
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,133.22,2.05,45.7,0.9,6.76,34.68,41.89,1.8,8.56,53.6,0,0.45
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,57.12,1.5,24.02,3.15,6.3,17.86,53.57,3.15,15.76,23.11,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,73.5,1.34,27.58,0.82,4.08,31.84,42.45,2.45,8.98,41.63,0,0.82
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,136.15,2.39,35.07,0.88,8.37,20.71,53.76,3.53,14.54,28.2,0,0.88
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,97.13,1.73,29.09,1.85,8.03,33.36,50.65,3.09,14.21,45.09,0,0.62
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,147.85,2.31,38.8,0.81,10.55,23.13,36.52,2.43,18.67,36.52,0.41,0.41
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,137.72,2.15,38.09,0.44,4.36,34.85,26.58,2.61,10.02,53.15,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,132.57,2.25,34.87,2.72,5.88,28.06,51.6,3.62,14.03,36.66,0.45,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,217.52,2.72,37.39,1.93,19.31,32.82,42.75,3.86,23.45,38.89,0,0
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,119.17,1.81,29.71,1.51,7.05,58.91,45.82,2.52,12.08,71.49,0,0.5
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,121.9,1.93,33.19,0,8.37,52.67,27.56,2.46,11.32,72.35,0,0
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,1.48,25.24,1.93,4.51,49.01,42.56,1.93,7.09,63.19,0,0
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,42,58.67,1.4,27.28,3.07,8.18,35.79,61.36,4.09,15.34,45,0,1.02
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,282.18,4.48,66.54,1.06,10.63,22.33,15.52,3.19,22.75,48.05,0,0.43
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,143.1,3.49,52.92,1.26,8.39,33.12,25.16,2.1,12.58,51.99,0,0.42
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,171.18,2.55,44.97,1.4,5.61,34,39.61,2.8,11.22,45.92,0,0.7
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,127.87,2.72,46.55,0,6.1,40.35,33.78,1.41,8.92,53.49,0,0
