"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,12.76,25.56,11,23,12,50,28,30,27,9,6
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,7.19,15.09,22,21,21,120,34,34,33,7,8
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,6.25,13.14,13,32,7,90,19,39,17,8,10
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,4.55,9.9,76,52,10,274,100,66,22,12,17
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,18.34,36.43,228,283,130,1051,553,465,352,117,143
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,17.67,36.23,230,342,182,798,480,525,378,128,116
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,17.57,35.47,166,194,98,876,452,352,317,104,89
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,18.29,36.78,224,375,249,1028,441,572,625,146,107
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,19.06,38.04,220,397,261,1115,494,581,575,153,127
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,18.93,37.86,160,309,190,820,379,454,385,99,83
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,143.03,7.53,15.68,27,41,26,123,37,56,40,8,8
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.65,9.38,18.01,10,12,7,61,18,19,13,6,4
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,7.33,14.41,9,16,10,70,16,24,29,17,4
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,342.2,11.41,24.94,38,59,24,290,85,115,80,25,8
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,460.53,12.12,26.2,64,114,45,404,121,167,115,37,15
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,253.17,11.51,24.29,34,53,25,238,69,85,59,20,11
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,301.17,15.85,32.86,19,50,39,268,55,95,98,25,20
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,793.07,14.16,29.24,92,181,105,654,183,265,236,75,32
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,138.4,13.84,27.26,17,30,11,129,46,40,32,9,8
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,66.07,13.21,26.08,11,9,8,76,14,12,14,5,2
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,828.23,14.53,31.67,72,174,117,735,146,260,224,43,45
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,149.23,16.58,31.78,26,30,17,110,37,46,34,5,9
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,273.02,13.65,26.72,42,40,28,269,86,72,77,33,23
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,12.17,25.11,11,15,3,106,25,25,12,6,3
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,94.7,11.84,24.39,12,19,10,103,20,36,30,11,5
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,292.63,12.19,24.74,65,53,29,278,106,87,71,26,23
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,282.68,7.44,15.39,25,54,32,269,63,95,67,20,20
