"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,0,0,0,0,11,19,26,0.59,0,0,3.11,5,2,2,2,4,1,0,0,0,-1,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,1,1,0,2,7,8,10,0.12,14.29,12.5,1.5,5,1,1,6,2,2,2,0,0,0,0,0,0
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,0,1,0,1,3,6,6,0.2,0,0,3.33,6,0,0,5,3,0,0,0,0,0,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,1,0,0,1,6,10,13,1.04,16.67,10,10.4,0,0,1,7,1,0,0,0,0,0,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,1,1,0,2,9,15,20,0.72,11.11,6.67,4.8,1,0,1,2,0,1,0,0,0,-1,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,2,0,0,2,10,15,16,0.37,20,13.33,2.47,4,1,2,7,0,1,2,0,0,1,0,0,0
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,0,0,0,0,5,6,11,0.34,0,0,5.67,0,0,2,3,5,1,3,0,0,2,15,28,-13
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,0,0,1,1,14,16,22,0.98,0,0,6.12,3,5,1,0,5,1,1,0,0,0,1,0,1
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,1,0,1,2,9,15,20,0.48,11.11,6.67,3.2,5,2,0,4,2,2,0,0,0,-2,0,0,0
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,0,2,0,2,6,12,21,0.59,0,0,4.92,7,2,1,4,5,1,0,0,0,-1,0,0,0
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,47,68.03,0,0,0,0,12,19,26,0.62,0,0,3.26,4,3,1,3,3,1,0,0,0,-1,0,1,-1
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,59,87.17,0,1,4,5,20,24,37,1.05,0,0,4.38,9,0,0,3,9,0,0,0,0,0,0,0,0
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,45,59.68,0,0,1,1,13,15,25,0.69,0,0,4.6,6,0,2,3,4,0,3,0,0,3,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","09-10","PIT","D","L",1985-07-30,24,49,65.12,1,0,0,1,3,7,8,0.37,33.33,14.29,5.29,6,5,0,2,3,0,0,0,0,0,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","PIT","D","L",1985-07-30,25,45,57.47,1,0,0,1,3,7,14,0.19,33.33,14.29,2.71,1,2,1,2,2,1,0,0,0,-1,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","11-12","DAL","D","L",1985-07-30,26,51,65.28,0,1,1,2,5,5,8,0.25,0,0,5,6,2,0,3,3,0,0,0,0,0,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","13-14","DAL","D","L",1985-07-30,28,55,73.63,0,1,2,3,8,10,14,0.53,0,0,5.3,3,1,4,1,3,0,0,0,0,0,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","14-15","DAL","D","L",1985-07-30,29,54,60.37,0,1,0,1,4,10,15,0.49,0,0,4.9,3,3,1,2,1,2,1,0,0,-1,0,0,0
"Alex Kovalev","ALEX.KOVALEV","07-08","MTL","R","L",1973-02-24,34,57,62.45,1,0,0,1,12,13,15,1.02,8.33,7.69,7.85,0,3,1,3,5,1,0,0,0,-1,2,3,-1
"Alex Kovalev","ALEX.KOVALEV","08-09","MTL","R","L",1973-02-24,35,56,56.93,0,1,0,1,10,14,17,0.79,0,0,5.64,0,2,2,2,7,2,2,0,0,0,3,3,0
"Alex Ovechkin","ALEX.OVECHKIN","07-08","WSH","L","R",1985-09-17,21,55,54.63,5,2,0,7,20,28,40,1.94,25,17.86,6.93,3,5,7,1,5,0,1,0,0,1,1,0,1
"Alex Ovechkin","ALEX.OVECHKIN","08-09","WSH","L","R",1985-09-17,22,58,56.77,3,0,0,3,19,33,42,2.21,15.79,9.09,6.7,0,6,2,10,5,0,4,0,0,4,1,2,-1
"Alex Ovechkin","ALEX.OVECHKIN","13-14","WSH","L","R",1985-09-17,27,58,51.98,3,1,0,4,12,22,28,1.55,25,13.64,7.05,1,2,0,5,5,0,1,0,0,1,0,0,0
"Alex Ovechkin","ALEX.OVECHKIN","14-15","WSH","L","R",1985-09-17,28,58,72.4,4,1,0,5,28,39,53,2.94,14.29,10.26,7.54,1,1,6,10,2,1,2,0,0,1,1,2,-1
