"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,1.38,0.28,1.38,3.03,9.93,14.62,21.24,0.81,13.89,9.43,5.57,0.55,0.55,0.55,1.1,1.66,0.55,0,0,0,-0.55,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,0.57,0.57,0.85,1.99,9.65,13.62,20.72,0.82,5.88,4.17,6.02,0.28,0.85,0.28,1.14,2.55,0.57,0,0,0,-0.57,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,1.34,0.34,1.01,2.69,20.48,24.18,36.27,1.38,6.56,5.56,5.69,0,1.34,0.34,0.67,1.68,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,1.82,0.73,1.09,3.64,10.54,16,26.17,1.13,17.24,11.36,7.07,1.45,2.91,0.73,1.09,4.36,0.73,0.36,0,0,-0.36,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,2.18,0.87,1.31,4.37,16.15,18.33,24.01,1.26,13.51,11.9,6.86,0,3.49,0,1.31,1.75,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,0,2.52,1.26,3.78,10.71,13.23,18.9,0.53,0,0,4,0,0.63,0.63,0,0,0.63,0,0,0,-0.63,0,0,0
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,0,0,1.09,1.09,2.17,3.26,10.87,0.1,0,0,3,2.17,2.17,2.17,4.35,1.09,0,0,0,0,0,0,0,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,0,0.83,0,0.83,7.51,12.52,14.19,1.65,0,0,13.2,0,1.67,0,3.34,4.17,0.83,1.67,0,0,0.83,0.83,1.67,-0.83
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,2.16,0,0,2.16,11.49,15.09,16.52,1.88,18.75,14.29,12.48,0.72,0.72,0.72,3.59,6.47,2.16,0,0,0,-2.16,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,0,0,1.7,1.7,8.51,11.35,14.18,0.45,0,0,4,1.7,0,0,1.13,2.27,0,0,0,0,0,0,0,0
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,86.2,0,0.7,0.7,1.39,9.05,11.14,16.01,0.49,0,0,4.38,1.39,0,0,1.39,1.39,0,0,0,0,0,0,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,135.1,0.44,3.11,1.78,5.33,10.21,14.21,20.43,0.71,4.35,3.12,5,1.33,3.55,1.78,0.89,0.89,0.44,1.33,0,0,0.89,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.48,0,0.78,0.78,1.57,7.06,12.55,14.12,1.05,0,0,8.38,0,0.78,0,0,3.92,0,0,0,0,0,9.41,10.2,-0.78
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.18,2.69,0.67,4.71,8.07,9.42,14.13,16.82,1.37,28.57,19.05,9.71,0,1.35,1.35,0,0.67,0.67,0,0,0,-0.67,18.17,29.6,-11.44
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.1,0,2.02,2.02,4.03,5.04,8.56,9.57,0.91,0,0,10.65,0.5,0.5,1.51,1.01,2.52,0,0,0,0,0,16.12,14.11,2.02
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,109.58,1.64,0.55,0,2.19,8.76,13.69,16.43,1.36,18.75,12,9.92,0,2.74,0,0,1.1,0.55,0,0,0,-0.55,21.9,25.73,-3.83
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.08,2.59,0.74,1.11,4.44,8.88,10.74,12.59,1.32,29.17,24.14,12.31,0,2.59,0.74,0.74,1.48,0.74,0.37,0,0,-0.37,22.95,28.5,-5.55
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,72,126.52,2.37,2.85,1.9,7.11,6.17,10.43,12.33,1.37,38.46,22.73,13.14,0.47,2.37,0,0.95,1.9,0.95,0,0,0,-0.95,13.75,9.96,3.79
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,191.87,1.56,0.63,0.63,2.81,5.94,7.82,9.69,0.83,26.32,20,10.68,0,1.56,0.63,1.88,2.5,0,0.63,0,0,0.63,24.7,25.02,-0.31
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,191.78,1.88,0.94,0.31,3.13,7.2,9.07,10.64,1.22,26.09,20.69,13.41,0,1.88,0.63,1.88,3.75,0.31,0.63,0,0,0.31,21.27,18.77,2.5
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,56,136.5,1.76,0.88,0.44,3.08,10.99,14.95,17.14,2.2,16,11.76,14.71,0.44,0.88,0.44,0.88,2.64,0.44,0,0,0,-0.44,19.78,12.75,7.03
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,62.73,1.91,0.96,1.91,4.78,4.78,11.48,13.39,1.21,40,16.67,10.58,1.91,0.96,0,0.96,1.91,0,0,0,0,0,22.96,19.13,3.83
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,180.5,2.66,0.66,1,4.32,8.98,13.63,16.62,1.6,29.63,19.51,11.71,0,1.33,1.33,1.66,1,0,0.33,0,0,0.33,26.59,23.6,2.99
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,70,157.1,1.53,0.38,0.76,2.67,10.69,13.75,16.04,1.73,14.29,11.11,12.58,0.38,1.15,0.76,2.29,1.53,0,0.38,0,0,0.38,30.55,16.04,14.51
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,103.27,0,1.16,0.58,1.74,4.07,6.97,13.94,0.29,0,0,4.17,0.58,3.49,0,1.16,1.74,0.58,0,0,0,-0.58,0,0,0
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,81,139.15,2.16,0.43,0.86,3.45,9.49,13.8,15.09,2.28,22.73,15.62,16.5,0,0.43,0.43,2.59,1.29,1.72,0,0,0,-1.72,17.25,14.66,2.59
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,76,313.9,0.57,1.34,1.53,3.44,8.22,12.81,19.11,0.71,6.98,4.48,5.51,1.15,1.15,0.57,0.76,0.57,0.38,0.19,0,0,-0.19,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,79,324.4,0.18,0.37,0.92,1.48,5.73,8.88,13.5,0.43,3.23,2.08,4.85,0.18,0.74,0.55,1.29,0.18,0.37,0,0,0,-0.37,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,80,255.2,0.24,1.18,1.18,2.59,8.7,14.34,20.45,0.64,2.7,1.64,4.44,0.47,0.24,0.24,0.71,0.24,1.41,0,0,0,-1.41,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,73,64.75,0,0,1.85,1.85,6.49,8.34,15.75,0.38,0,0,4.56,0.93,0,0.93,1.85,0.93,0.93,0,0,0,-0.93,0,0,0
"Adrian Kempe","ADRIAN.KEMPE","17-18","L.A","L","L",1996-09-13,21,79,89.62,0.67,1.34,1.34,3.35,9.37,12.72,19.42,1.31,7.14,5.26,10.26,0,2.01,0.67,0,2.01,0.67,0,0,0,-0.67,20.75,29.46,-8.7
"Adrian Kempe","ADRIAN.KEMPE","18-19","L.A","L","L",1996-09-13,22,77,108.9,0,1.1,1.1,2.2,4.96,9.37,12.12,0.8,0,0,8.59,0,2.2,0,2.75,2.2,1.65,0.55,0,0,-1.1,10.47,14.88,-4.41
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,67,170,0.71,1.76,1.06,3.53,13.76,20.82,24.71,1.48,5.13,3.39,7.1,0,1.41,0,1.76,2.12,0,0,0,0,0,3.18,1.06,2.12
"Alan Quine","ALAN.QUINE","16-17","NYI","C","L",1993-02-25,23,58,66.82,1.8,0,0.9,2.69,6.29,8.08,8.98,1.19,28.57,22.22,14.78,0.9,0,0,0,1.8,0,0,0,0,0,13.47,10.78,2.69
"Alec Martinez","ALEC.MARTINEZ","10-11","L.A","D","L",1987-07-26,23,59,105.33,0.57,1.14,1.14,2.85,13.1,18.8,32.47,0.89,4.35,3.03,4.73,0.57,0.57,0,1.71,2.28,0,0,0,0,0,0,0,0
"Alec Martinez","ALEC.MARTINEZ","11-12","L.A","D","L",1987-07-26,24,51,90.4,1.33,1.99,0.66,3.98,13.27,19.25,27.88,1.23,10,6.9,6.41,0.66,1.33,0.66,0,2.65,0,0.66,0,0,0.66,0,0,0
"Alec Martinez","ALEC.MARTINEZ","13-14","L.A","D","L",1987-07-26,26,59,120.67,1.99,0.99,1.49,4.48,12.93,19.39,30.33,1.53,15.38,10.26,7.87,0.5,0.99,0.99,2.49,1.49,0,0,0,0,0,0,0,0
"Alec Martinez","ALEC.MARTINEZ","14-15","L.A","D","L",1987-07-26,27,54,108.32,0.55,1.66,0,2.22,9.97,17.73,28.8,0.84,5.56,3.12,4.75,1.11,0.55,0,1.66,1.11,0.55,0.55,0,0,0,0,0,0
"Alec Martinez","ALEC.MARTINEZ","15-16","L.A","D","L",1987-07-26,28,76,153.05,1.57,2.35,1.18,5.1,14.9,21.17,32.15,1.02,10.53,7.41,4.81,2.35,2.35,0.39,0.78,0.39,0.78,0,0,0,-0.78,0,0,0
"Alec Martinez","ALEC.MARTINEZ","16-17","L.A","D","L",1987-07-26,29,80,174,0.69,2.41,2.41,5.52,14.14,23.1,33.1,1.23,4.88,2.99,5.31,2.07,0.69,0.34,0.69,1.72,0.34,0,0,0,-0.34,0,0,0
"Alec Martinez","ALEC.MARTINEZ","17-18","L.A","D","L",1987-07-26,30,75,148.07,0.81,2.03,1.22,4.05,8.91,12.56,20.26,0.68,9.09,6.45,5.45,1.22,2.03,0,1.62,4.05,0.41,0,0,0,-0.41,0,0,0
"Alec Martinez","ALEC.MARTINEZ","18-19","L.A","D","L",1987-07-26,31,57,72.2,0,1.66,0,1.66,9.97,14.13,23.27,0.83,0,0,5.88,0,1.66,0,0,0.83,0,0,0,0,0,0,0,0
"Alec Martinez","ALEC.MARTINEZ","19-20","L.A","D","L",1987-07-26,32,41,60.98,0,0.98,0.98,1.97,10.82,14.76,20.66,0.57,0,0,3.87,0,0,0,0,1.97,1.97,0.98,0,0,-0.98,0,0,0
