"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,12.76,25.56,10.34,21.63,11.29,47.02,26.33,28.21,25.39,8.46,5.64
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,7.19,15.09,10.8,10.31,10.31,58.89,16.68,16.68,16.19,3.44,3.93
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,6.25,13.14,8.32,20.47,4.48,57.57,12.15,24.95,10.87,5.12,6.4
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,4.55,9.9,17.91,12.26,2.36,64.58,23.57,15.56,5.19,2.83,4.01
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,18.34,36.43,9.21,11.43,5.25,42.44,22.33,18.78,14.22,4.72,5.77
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,17.67,36.23,10.01,14.89,7.92,34.74,20.9,22.86,16.46,5.57,5.05
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,17.57,35.47,8.34,9.74,4.92,44,22.7,17.68,15.92,5.22,4.47
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,18.29,36.78,8.96,15,9.96,41.12,17.64,22.88,25,5.84,4.28
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,19.06,38.04,8.45,15.24,10.02,42.81,18.97,22.31,22.08,5.87,4.88
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,18.93,37.86,7.57,14.62,8.99,38.79,17.93,21.48,18.21,4.68,3.93
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,143.03,7.53,15.68,11.33,17.2,10.91,51.6,15.52,23.49,16.78,3.36,3.36
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.65,9.38,18.01,9.14,10.97,6.4,55.75,16.45,17.36,11.88,5.48,3.66
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,7.33,14.41,7.37,13.1,8.19,57.32,13.1,19.65,23.75,13.92,3.28
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,342.2,11.41,24.94,6.66,10.34,4.21,50.85,14.9,20.16,14.03,4.38,1.4
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,460.53,12.12,26.2,8.34,14.85,5.86,52.64,15.76,21.76,14.98,4.82,1.95
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,253.17,11.51,24.29,8.06,12.56,5.92,56.4,16.35,20.14,13.98,4.74,2.61
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,301.17,15.85,32.86,3.79,9.96,7.77,53.39,10.96,18.93,19.52,4.98,3.98
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,793.07,14.16,29.24,6.96,13.69,7.94,49.48,13.84,20.05,17.85,5.67,2.42
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,138.4,13.84,27.26,7.37,13.01,4.77,55.92,19.94,17.34,13.87,3.9,3.47
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,66.07,13.21,26.08,9.99,8.17,7.27,69.02,12.71,10.9,12.71,4.54,1.82
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,828.23,14.53,31.67,5.22,12.61,8.48,53.25,10.58,18.84,16.23,3.12,3.26
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,149.23,16.58,31.78,10.45,12.06,6.84,44.23,14.88,18.49,13.67,2.01,3.62
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,273.02,13.65,26.72,9.23,8.79,6.15,59.12,18.9,15.82,16.92,7.25,5.05
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,12.17,25.11,6.78,9.24,1.85,65.33,15.41,15.41,7.4,3.7,1.85
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,94.7,11.84,24.39,7.6,12.04,6.34,65.26,12.67,22.81,19.01,6.97,3.17
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,292.63,12.19,24.74,13.33,10.87,5.95,57,21.73,17.84,14.56,5.33,4.72
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,282.68,7.44,15.39,5.31,11.46,6.79,57.1,13.37,20.16,14.22,4.25,4.25
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,263.12,10.52,20.7,10.49,13.91,9.58,54.73,18.7,19.38,20.29,3.88,4.79
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,259.82,15.28,33.16,5.54,13.16,7.39,52.42,10.62,20.55,15.47,5.08,3
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,113.35,14.17,27.81,11.65,13.23,2.65,58.76,24.35,16.94,9,3.71,4.23
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,678.53,13.85,28.96,6.81,13.18,8.75,47.84,13.35,19.45,16.8,2.74,2.56
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,846.1,15.11,31.27,7.59,14.11,9.72,48.5,13.9,21.27,17.52,3.4,3.19
"Aaron Rome","AARON.ROME","11-12","VAN","D","L",1983-09-27,27,43,598.7,13.92,27.69,6.91,9.92,7.92,52.51,13.03,16.54,17.14,4.61,3.91
"Aaron Rome","AARON.ROME","12-13","DAL","D","L",1983-09-27,28,27,366.13,13.56,28.3,10,16.06,11.96,49.16,16.39,22.61,21.8,5.74,5.08
"Aaron Rome","AARON.ROME","13-14","DAL","D","L",1983-09-27,29,25,299.92,12,24.38,12,12.4,7.8,49.41,22.61,19.61,19.61,5.4,4
"Aaron Volpatti","AARON.VOLPATTI","10-11","VAN","L","L",1985-05-30,25,15,97.28,6.49,13.66,3.7,14.8,3.7,69.7,6.78,19.12,11.1,5.55,3.08
"Aaron Volpatti","AARON.VOLPATTI","11-12","VAN","L","L",1985-05-30,26,23,202.92,8.82,18.72,3.25,13.9,8.87,63.87,5.03,19.22,18.33,6.8,3.55
"Aaron Volpatti","AARON.VOLPATTI","12-13","VAN","L","L",1985-05-30,27,16,114.73,7.17,15.18,5.23,15.69,15.17,58.05,10.98,21.44,21.44,3.66,4.71
"Aaron Volpatti","AARON.VOLPATTI","12-13","WSH","L","L",1985-05-30,27,17,156.35,9.2,18.31,10.36,18.04,6.52,41.06,14.58,22.26,15.35,5.37,3.45
"Aaron Volpatti","AARON.VOLPATTI","13-14","WSH","L","L",1985-05-30,28,41,299.48,7.3,14.64,11.02,18.63,6.81,44.28,16.43,23.24,14.43,5.41,4.61
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,422.58,7.68,16.21,10.22,19.31,9.51,62.19,13.91,25.27,19.74,5.11,1.56
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,511.88,9.48,20.08,7.62,12.07,5.39,58.26,16.06,21.45,10.55,2.34,4.34
"Aaron Voros","AARON.VOROS","09-10","NYR","L","L",1981-07-02,28,41,249.15,6.08,12.79,7.71,18.06,5.54,60.93,12.04,24.08,12.28,3.37,5.3
"Aaron Voros","AARON.VOROS","10-11","ANA","L","L",1981-07-02,29,12,66.32,5.53,11.86,19,16.28,7.24,61.52,23.52,24.43,13.57,4.52,4.52
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,1051.48,16.43,34.42,6.22,13.75,8.1,42.17,13.75,21.8,17.35,4.11,3.02
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,1034.47,16.16,33.75,7.13,12.53,9.4,41.82,15.37,20.13,18.97,2.78,3.19
"Aaron Ward","AARON.WARD","09-10","ANA","D","R",1973-01-17,36,17,216.15,12.71,25.69,5.55,13.88,7.22,49.97,11.66,20.82,11.66,2.5,3.89
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,903.12,15.31,32.86,7.11,13.55,8.57,48.83,15.21,19.53,16.41,3.19,3.85
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,563.95,13.75,27.84,8.09,10.85,5.32,50.86,21.49,17.13,14.58,3.51,4.15
"Adam Brooks","ADAM.BROOKS","19-20","TOR","C","L",1996-05-06,23,7,51.6,7.37,14.36,10.47,13.95,8.14,53.49,16.28,15.12,17.44,6.98,5.81
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,682.63,8.53,18.89,9.93,17.14,6.77,54.58,14.59,21.36,12.57,3.25,4.04
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,476.43,7.22,15.52,12.47,12.59,7.81,57.3,18.76,18.39,14.61,3.78,3.4
"Adam Burish","ADAM.BURISH","09-10","CHI","R","R",1983-01-06,26,13,112.07,8.62,17.82,10.71,11.24,8.57,55.68,19.27,17.13,17.13,4.82,3.21
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,754.28,11.97,24.99,9.31,15.59,20.28,42.64,14.24,21.08,31.02,3.9,3.02
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,65,693.18,10.66,21.53,9.26,13.94,12.64,46.83,15.93,19.3,22.25,4.41,3.2
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,46,422.57,9.19,18.3,8.66,12.78,14.91,61.2,14.62,18.88,24.28,4.12,5.25
"Adam Burish","ADAM.BURISH","13-14","S.J","R","R",1983-01-06,30,15,125.27,8.35,16.74,11.02,14.37,11.02,58.91,18.2,21.07,23.47,9.1,1.92
"Adam Burish","ADAM.BURISH","14-15","S.J","R","R",1983-01-06,31,20,190.88,9.54,18.99,7.23,14.46,15.72,59.72,11.32,19.17,25.78,5.34,4.72
"Adam Clendening","ADAM.CLENDENING","14-15","VAN","D","R",1992-10-26,21,17,262.68,15.45,30.85,8.68,12.11,6.85,54.36,16.9,17.36,15.08,5.48,2.74
"Adam Clendening","ADAM.CLENDENING","15-16","EDM","D","R",1992-10-26,22,20,286.9,14.34,29.52,6.48,8.57,6.27,57.93,16.52,14.01,15.68,5.44,4.39
"Adam Clendening","ADAM.CLENDENING","15-16","PIT","D","R",1992-10-26,22,9,112.28,12.48,26.29,11.76,16.03,5.88,48.63,22.98,24.58,13.89,3.21,7.48
