"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,53.42,0,12.13,16.46,17.17,12.07,0,6.86,6.38,46.21,10.63,53.94,13.77,66.45,0.66,4.81,-6.86,-39.83,-43.31,-52.68,-4.15,0,85.15
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.12,20.73,20.36,19.1,20.76,16.32,1.08,4.13,11.72,45.83,12.67,53.68,16.48,62.9,0.79,4.05,-3.05,-34.11,-41.01,-46.42,-3.26,9.22,90.99
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,173.17,26.92,17.22,18.58,15.97,15.04,6.19,16.8,38.91,187.11,54.89,240.57,58.14,305.86,3.85,21.75,-10.61,-148.2,-185.68,-247.72,-17.9,15.91,91.02
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,184.72,10.59,30.67,25.53,22.45,17.36,2.18,18.41,55.91,126.39,65.06,189.74,72.65,250.94,3.35,15.95,-16.23,-70.48,-124.68,-178.29,-12.6,3.9,85.43
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,133.22,7.76,22.66,21.5,19.1,17.1,2,23.77,39.24,133.94,47.54,173.58,52.74,223.45,3.86,18.71,-21.77,-94.7,-126.04,-170.71,-14.85,5.1,82.25
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,57.12,14.4,11.46,12.27,11.32,13.64,0.87,5.17,6.29,48.6,9.77,69.86,11.81,92.48,0.84,5.32,-4.3,-42.31,-60.09,-80.67,-4.48,13.83,89.36
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,73.5,0,8.31,7.11,9.26,4.25,0,8.4,5.64,62.2,6.59,86.07,11.38,111.51,0.29,6.53,-8.4,-56.56,-79.48,-100.13,-6.24,0,86.5
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,136.15,9.01,10.53,9.4,8.12,6.54,1.18,11.91,12.61,107.09,15.36,148.01,18.37,207.82,0.81,11.58,-10.73,-94.48,-132.65,-189.45,-10.77,9.36,88.88
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,97.13,0,13.69,13.92,14.11,11.29,0,9.53,13.31,83.9,18.37,113.58,22.57,137.39,1.26,9.9,-9.53,-70.59,-95.21,-114.82,-8.64,0,88.64
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,147.85,4.7,13.01,10.18,9.83,4.44,0.87,17.64,19.87,132.89,20.91,184.47,25.79,236.64,0.74,15.92,-16.77,-113.02,-163.56,-210.85,-15.18,4.38,86.73
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,137.72,13.41,11.37,11.84,10.1,7.93,2.12,13.69,16.4,127.81,23.89,177.9,26.29,234.09,1.33,15.44,-11.57,-111.41,-154.01,-207.8,-14.11,12.93,89.29
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,132.57,22.13,12.88,14.45,13.41,15.24,3.93,13.83,13.84,93.65,22.93,135.8,28.94,186.91,2.62,14.57,-9.9,-79.81,-112.87,-157.97,-11.95,28.4,85.23
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,217.52,11.99,10.92,10.9,9.97,6.93,3.02,22.16,23,187.54,29,237.06,36.87,332.94,1.64,22.03,-19.14,-164.54,-208.06,-296.07,-20.39,13.13,88.18
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,119.17,0,9.79,10.29,7.49,10.28,0,11.54,10.89,100.36,14.09,122.83,15.35,189.7,1.09,9.51,-11.54,-89.47,-108.74,-174.35,-8.42,0,88.5
