"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,24.4,50.32,54.9,50.26,61.69,1.01,3.13,32.03,31.62,45.9,37.7,58.05,57.46,2.77,1.72,-2.12,0.41,8.2,0.59,1.05,3.15,90.1
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,67.51,40.8,39.72,39.84,39.38,4.01,1.93,49.3,71.53,64.22,97.45,83.7,126.37,3.41,5.25,2.08,-22.23,-33.23,-42.67,-1.84,8.13,97.3
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,33.44,49.06,50.64,48.87,47.84,2.05,4.08,44.8,46.51,60.88,59.34,77.28,80.84,3.43,3.74,-2.03,-1.71,1.54,-3.56,-0.31,4.58,91.23
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,49.84,51.9,52.84,52.68,48.39,6.07,6.11,116.46,107.95,162.68,145.19,200.83,180.43,7.2,7.68,-0.04,8.51,17.49,20.4,-0.48,5.21,94.34
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1407.25,57.16,54.72,52.99,53.44,55.1,58.66,43.97,767.33,634.94,993.81,881.55,1297.19,1130.26,52.59,42.85,14.69,132.39,112.26,166.93,9.74,7.64,93.07
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1318.98,56.59,52.31,51.28,51.39,50.24,56.05,43,624.66,569.44,848.86,806.49,1071.41,1013.29,44.85,44.43,13.05,55.22,42.37,58.12,0.42,8.97,92.45
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1132.35,39.31,51.29,50.67,51.69,47.7,29.73,45.89,610.96,580.21,821.07,799.25,1077.91,1007.38,40.48,44.39,-16.16,30.75,21.82,70.53,-3.91,4.87,92.09
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1451.17,51.13,48.01,48.37,48.14,46.47,69.54,66.47,814.44,881.86,1116.34,1191.47,1412.7,1521.7,59.42,68.46,3.07,-67.42,-75.13,-109,-9.04,8.54,92.46
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1498.22,49.43,51.23,49.67,49.37,48.07,79.26,81.08,817.58,778.3,1081.33,1095.86,1397.11,1432.57,63.25,68.33,-1.82,39.28,-14.53,-35.46,-5.08,9.69,89.58
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1220.55,56.75,54.15,54.03,53.68,50.83,69.36,52.87,688.01,582.61,895.76,762.05,1175.1,1014.02,49.88,48.26,16.49,105.4,133.71,161.08,1.62,10.08,90.93
