"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,53.42,0.69,13.51,3.03,10.1,25.25,61.62,14.29,24.49,61.22,0,2,100
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.12,0.78,15.56,4.6,8.05,21.84,65.52,12,30,58,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,173.17,2.28,47.93,1.56,8.59,55.86,33.98,2.81,13.65,83.53,0,1,100
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,184.72,2.31,52.49,1.18,12.94,51.76,34.12,4.31,20.39,75.29,0,3,100
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,133.22,2.05,45.7,1.07,8.02,41.18,49.73,2.82,13.38,83.8,0,1,100
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,57.12,1.5,24.02,3.9,7.79,22.08,66.23,7.5,37.5,55,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,73.5,1.34,27.58,1.03,5.15,40.21,53.61,4.62,16.92,78.46,0,1,100
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,136.15,2.39,35.07,1.05,10,24.74,64.21,7.62,31.43,60.95,0,2,100
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,97.13,1.73,29.09,1.97,8.55,35.53,53.95,4.95,22.77,72.28,0,1,100
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,147.85,2.31,38.8,1.14,14.86,32.57,51.43,4.23,32.39,63.38,1,1,50
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,137.72,2.15,38.09,0.66,6.58,52.63,40.13,3.97,15.23,80.79,0,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,132.57,2.25,34.87,3.08,6.67,31.79,58.46,6.67,25.83,67.5,1,0,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,217.52,2.72,37.39,1.99,19.94,33.9,44.16,5.83,35.42,58.75,0,0,0
