"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,84.83,86.34,85.81,87.21,88.36,21.69,3.88,192.41,30.43,256.45,42.42,319.54,46.86,22.4,2.95,17.81,161.98,214.03,272.68,19.45,11.27,87.25
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,85.78,87.54,87.8,89.09,89.18,20.75,3.44,177.13,25.21,238.6,33.14,326.27,39.96,23.74,2.88,17.31,151.92,205.46,286.31,20.86,11.71,86.35
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,86.97,88.99,90.73,92.34,88.97,18.76,2.81,194.11,24.02,256.19,26.16,337.33,28,20.16,2.5,15.95,170.09,230.03,309.33,17.66,9.66,88.3
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,95.46,85.17,86.42,87.78,91.23,21.25,1.01,169.64,29.54,231.9,36.45,303.27,42.21,20.8,2,20.24,140.1,195.45,261.06,18.8,12.53,96.58
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,80.9,81.49,82.81,83.47,82.11,17.2,4.06,130.86,29.73,169.46,35.17,205.32,40.67,14.96,3.26,13.14,101.13,134.29,164.65,11.7,13.14,86.34
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,92.22,81.87,84.52,85.63,93.16,10.31,0.87,81.99,18.16,105.96,19.4,134.07,22.5,9.81,0.72,9.44,63.83,86.56,111.57,9.09,12.57,95.21
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,100,79.13,78.71,81.42,81.64,5.1,0,34.32,9.05,41.04,11.1,65.46,14.94,3.78,0.85,5.1,25.27,29.94,50.52,2.93,14.86,100
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,80.02,81.43,81.44,83.9,89.17,8.29,2.07,56.84,12.96,84.69,19.3,112.12,21.52,7.66,0.93,6.22,43.88,65.39,90.6,6.73,14.58,84.03
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,48.16,81.76,85.99,88.6,84.64,3.93,4.23,69.6,15.53,109.29,17.81,146.83,18.89,9.75,1.77,-0.3,54.07,91.48,127.94,7.98,5.65,72.76
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,83.45,81.1,83.82,83.79,86.19,9.43,1.87,75.62,17.62,105.82,20.43,129.93,25.13,9.3,1.49,7.56,58,85.39,104.8,7.81,12.47,89.39
