"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,0,0,0,0,8.41,14.53,19.88,0.45,0,0,3.11,3.82,1.53,1.53,1.53,3.06,0.76,0,0,0,-0.76,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,1.12,1.12,0,2.25,7.86,8.98,11.23,0.13,14.29,12.5,1.5,5.61,1.12,1.12,6.74,2.25,2.25,2.25,0,0,0,0,0,0
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,0,0.92,0,0.92,2.77,5.54,5.54,0.18,0,0,3.33,5.54,0,0,4.61,2.77,0,0,0,0,0,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,1.16,0,0,1.16,6.99,11.65,15.14,1.21,16.67,10,10.4,0,0,1.16,8.15,1.16,0,0,0,0,0,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,1.18,1.18,0,2.35,10.58,17.64,23.52,0.85,11.11,6.67,4.8,1.18,0,1.18,2.35,0,1.18,0,0,0,-1.18,0,0,0
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,2.1,0,0,2.1,10.51,15.77,16.82,0.39,20,13.33,2.47,4.2,1.05,2.1,7.36,0,1.05,2.1,0,0,1.05,0,0,0
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,0,0,0,0,5.26,6.32,11.58,0.36,0,0,5.67,0,0,2.11,3.16,5.26,1.05,3.16,0,0,2.11,15.79,29.47,-13.68
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,0,0,1.06,1.06,14.83,16.95,23.3,1.04,0,0,6.12,3.18,5.3,1.06,0,5.3,1.06,1.06,0,0,0,1.06,0,1.06
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,0.71,0,0.71,1.42,6.39,10.65,14.2,0.34,11.11,6.67,3.2,3.55,1.42,0,2.84,1.42,1.42,0,0,0,-1.42,0,0,0
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,0,1.69,0,1.69,5.08,10.15,17.76,0.5,0,0,4.92,5.92,1.69,0.85,3.38,4.23,0.85,0,0,0,-0.85,0,0,0
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,47,68.03,0,0,0,0,10.58,16.76,22.93,0.55,0,0,3.26,3.53,2.65,0.88,2.65,2.65,0.88,0,0,0,-0.88,0,0.88,-0.88
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,59,87.17,0,0.69,2.75,3.44,13.77,16.52,25.47,0.72,0,0,4.38,6.19,0,0,2.06,6.19,0,0,0,0,0,0,0,0
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,45,59.68,0,0,1.01,1.01,13.07,15.08,25.13,0.69,0,0,4.6,6.03,0,2.01,3.02,4.02,0,3.02,0,0,3.02,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","09-10","PIT","D","L",1985-07-30,24,49,65.12,0.92,0,0,0.92,2.76,6.45,7.37,0.34,33.33,14.29,5.29,5.53,4.61,0,1.84,2.76,0,0,0,0,0,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","PIT","D","L",1985-07-30,25,45,57.47,1.04,0,0,1.04,3.13,7.31,14.62,0.2,33.33,14.29,2.71,1.04,2.09,1.04,2.09,2.09,1.04,0,0,0,-1.04,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","11-12","DAL","D","L",1985-07-30,26,51,65.28,0,0.92,0.92,1.84,4.6,4.6,7.35,0.23,0,0,5,5.51,1.84,0,2.76,2.76,0,0,0,0,0,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","13-14","DAL","D","L",1985-07-30,28,55,73.63,0,0.81,1.63,2.44,6.52,8.15,11.41,0.43,0,0,5.3,2.44,0.81,3.26,0.81,2.44,0,0,0,0,0,0,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","14-15","DAL","D","L",1985-07-30,29,54,60.37,0,0.99,0,0.99,3.98,9.94,14.91,0.49,0,0,4.9,2.98,2.98,0.99,1.99,0.99,1.99,0.99,0,0,-0.99,0,0,0
"Alex Kovalev","ALEX.KOVALEV","07-08","MTL","R","L",1973-02-24,34,57,62.45,0.96,0,0,0.96,11.53,12.49,14.41,0.98,8.33,7.69,7.85,0,2.88,0.96,2.88,4.8,0.96,0,0,0,-0.96,1.92,2.88,-0.96
"Alex Kovalev","ALEX.KOVALEV","08-09","MTL","R","L",1973-02-24,35,56,56.93,0,1.05,0,1.05,10.54,14.75,17.92,0.83,0,0,5.64,0,2.11,2.11,2.11,7.38,2.11,2.11,0,0,0,3.16,3.16,0
"Alex Ovechkin","ALEX.OVECHKIN","07-08","WSH","L","R",1985-09-17,21,55,54.63,5.49,2.2,0,7.69,21.97,30.75,43.93,2.13,25,17.86,6.93,3.29,5.49,7.69,1.1,5.49,0,1.1,0,0,1.1,1.1,0,1.1
"Alex Ovechkin","ALEX.OVECHKIN","08-09","WSH","L","R",1985-09-17,22,58,56.77,3.17,0,0,3.17,20.08,34.88,44.39,2.34,15.79,9.09,6.7,0,6.34,2.11,10.57,5.28,0,4.23,0,0,4.23,1.06,2.11,-1.06
"Alex Ovechkin","ALEX.OVECHKIN","13-14","WSH","L","R",1985-09-17,27,58,51.98,3.46,1.15,0,4.62,13.85,25.39,32.32,1.79,25,13.64,7.05,1.15,2.31,0,5.77,5.77,0,1.15,0,0,1.15,0,0,0
"Alex Ovechkin","ALEX.OVECHKIN","14-15","WSH","L","R",1985-09-17,28,58,72.4,3.31,0.83,0,4.14,23.2,32.32,43.92,2.44,14.29,10.26,7.54,0.83,0.83,4.97,8.29,1.66,0.83,1.66,0,0,0.83,0.83,1.66,-0.83
"Alex Pietrangelo","ALEX.PIETRANGELO","11-12","STL","D","R",1990-01-18,21,57,87.2,0.69,0.69,0.69,2.06,7.57,14.45,18.58,0.85,9.09,4.76,5.9,3.44,0.69,1.38,4.13,4.13,0,0,0,0,0,0,0,0
"Alex Pietrangelo","ALEX.PIETRANGELO","13-14","STL","D","R",1990-01-18,23,55,84.55,0.71,0.71,0,1.42,3.55,7.81,13.48,0.62,20,9.09,8,6.39,0,2.13,0,2.13,0.71,0,0,0,-0.71,0,0,0
"Alex Pietrangelo","ALEX.PIETRANGELO","14-15","STL","D","R",1990-01-18,24,52,77.9,0.77,0,1.54,2.31,10.01,15.4,19.26,0.79,7.69,5,5.15,3.08,1.54,1.54,1.54,2.31,0,0.77,0,0,0.77,0,0,0
"Alex Steen","ALEX.STEEN","14-15","STL","L","L",1984-03-01,30,47,51.45,1.17,0,1.17,2.33,3.5,8.16,17.49,0.68,33.33,14.29,8.29,1.17,3.5,2.33,2.33,7,1.17,0,0,0,-1.17,5.83,12.83,-7
"Andrei Markov","ANDREI.MARKOV","07-08","MTL","D","L",1978-12-20,28,57,71.93,0,0,0,0,5,8.34,10.01,0.27,0,0,3.2,5,2.5,3.34,0.83,0.83,0,0.83,0,0,0.83,0,0,0
"Andrei Markov","ANDREI.MARKOV","08-09","MTL","D","L",1978-12-20,29,56,73.2,0.82,2.46,0,3.28,6.56,9.02,13.11,0.41,12.5,9.09,4.55,4.1,3.28,2.46,0.82,0,0,1.64,0,0,1.64,0,0,0
"Andrei Markov","ANDREI.MARKOV","13-14","MTL","D","L",1978-12-20,34,49,69.92,0.86,0.86,0.86,2.57,3.43,4.29,5.15,0.2,25,20,4.6,10.3,1.72,1.72,4.29,0.86,0.86,0,0,0,-0.86,0,0,0
"Andrei Markov","ANDREI.MARKOV","14-15","MTL","D","L",1978-12-20,35,56,79.83,0.75,0.75,0.75,2.25,4.51,7.52,12.03,0.18,16.67,10,2.4,6.01,1.5,1.5,4.51,2.25,0,0,0,0,0,0,0,0
"Andrej Meszaros","ANDREJ.MESZAROS","07-08","OTT","D","L",1985-10-13,21,57,61.13,0,0.98,0.98,1.96,10.8,12.76,16.69,0.41,0,0,3.23,1.96,0.98,2.94,4.91,1.96,1.96,0,0,0,-1.96,0,0,0
"Andrej Meszaros","ANDREJ.MESZAROS","09-10","T.B","D","L",1985-10-13,23,57,70.38,0.85,0.85,0,1.71,8.53,9.38,12.79,0.35,10,9.09,3.73,2.56,0.85,0,3.41,2.56,0.85,0,0,0,-0.85,0,0,0
"Andrej Meszaros","ANDREJ.MESZAROS","10-11","PHI","D","L",1985-10-13,24,52,52.88,3.4,0,0,3.4,9.08,11.35,18.15,0.47,37.5,30,4.1,7.94,2.27,4.54,10.21,2.27,0,0,0,0,0,0,0,0
