"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,12.76,26.15,11,23,12,50,28,30,27,9,6
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,7.19,15.48,22,21,21,120,34,34,33,7,8
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,6.25,13.83,13,32,7,90,19,39,17,8,10
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,4.55,10.32,76,52,10,274,100,66,22,12,17
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1407.25,17.37,36.08,210,268,122,1008,521,436,338,116,139
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1318.98,16.91,35.98,214,323,171,776,457,499,362,127,116
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1132.35,16.65,35.19,155,168,90,850,429,324,299,102,88
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1451.17,17.7,36.58,213,356,230,1007,425,548,598,146,106
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1498.22,18.27,37.7,204,376,250,1085,469,554,557,152,126
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1220.55,18.22,37.38,151,288,176,806,363,433,366,98,83
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,142.23,7.49,16.25,27,40,26,123,37,55,40,8,8
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.33,9.33,18.74,10,12,7,60,18,19,13,6,4
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,7.33,14.83,9,16,10,70,16,24,29,17,4
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,334.18,11.14,25.29,37,56,24,283,83,109,78,25,8
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,448.45,11.8,26.7,61,109,44,394,117,161,113,37,15
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,251.78,11.44,25.28,34,51,25,237,69,83,59,20,11
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,286.3,15.07,32.97,18,49,35,249,53,93,91,23,20
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,773.4,13.81,29.41,90,174,99,637,180,257,228,75,32
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,133.28,13.33,27.61,15,30,9,125,44,40,29,9,8
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,64.25,12.85,26.55,11,9,7,73,14,12,13,5,2
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,802.02,14.07,32.34,70,162,108,718,143,247,214,43,44
"Aaron Ness","AARON.NESS","11-12","NYI","D","L",1990-05-18,21,9,143.98,16,31.8,25,29,16,106,35,44,33,5,9
"Aaron Ness","AARON.NESS","13-14","NYI","D","L",1990-05-18,23,20,264.7,13.23,27.05,41,40,27,259,82,71,75,32,23
"Aaron Ness","AARON.NESS","15-16","WSH","D","L",1990-05-18,25,8,97.35,12.17,25.58,11,15,3,106,25,25,12,6,3
"Aaron Ness","AARON.NESS","17-18","WSH","D","L",1990-05-18,27,8,94.15,11.77,24.62,12,19,9,103,20,36,29,11,5
"Aaron Ness","AARON.NESS","19-20","ARI","D","L",1990-05-18,29,24,289.15,12.05,25.03,61,53,28,275,102,87,70,26,23
"Aaron Palushaj","AARON.PALUSHAJ","11-12","MTL","R","R",1989-09-07,22,38,282.68,7.44,16.21,25,54,32,269,63,95,67,20,20
"Aaron Palushaj","AARON.PALUSHAJ","12-13","COL","R","R",1989-09-07,23,25,261.62,10.46,21.36,45,61,42,238,81,85,89,17,21
"Aaron Rome","AARON.ROME","07-08","CBJ","D","L",1983-09-27,23,17,251.48,14.79,33.6,23,53,30,219,43,84,64,22,13
"Aaron Rome","AARON.ROME","08-09","CBJ","D","L",1983-09-27,24,8,109.9,13.74,27.88,20,25,3,109,43,32,15,7,8
"Aaron Rome","AARON.ROME","09-10","VAN","D","L",1983-09-27,25,49,656.8,13.4,29.17,72,139,95,530,142,207,185,31,29
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,827.18,14.77,31.44,100,193,128,671,189,293,237,48,45
"Aaron Rome","AARON.ROME","11-12","VAN","D","L",1983-09-27,27,43,581.82,13.53,28.39,66,98,76,500,124,163,166,46,39
"Aaron Rome","AARON.ROME","12-13","DAL","D","L",1983-09-27,28,27,361.1,13.37,28.78,56,97,73,298,93,137,133,35,31
"Aaron Rome","AARON.ROME","13-14","DAL","D","L",1983-09-27,29,25,297.17,11.89,25.05,58,61,39,247,108,96,97,27,20
"Aaron Volpatti","AARON.VOLPATTI","10-11","VAN","L","L",1985-05-30,25,15,97.28,6.49,14.03,6,24,6,113,11,31,18,9,5
"Aaron Volpatti","AARON.VOLPATTI","11-12","VAN","L","L",1985-05-30,26,23,202.92,8.82,19.32,11,47,30,216,17,65,62,23,12
"Aaron Volpatti","AARON.VOLPATTI","12-13","VAN","L","L",1985-05-30,27,16,114.2,7.14,16.12,10,29,29,111,21,40,41,7,9
"Aaron Volpatti","AARON.VOLPATTI","12-13","WSH","L","L",1985-05-30,27,17,156.35,9.2,18.89,27,47,17,107,38,58,40,14,9
"Aaron Volpatti","AARON.VOLPATTI","13-14","WSH","L","L",1985-05-30,28,41,299.48,7.3,15.4,55,93,34,221,82,116,72,27,23
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,422.43,7.68,16.93,72,135,67,438,98,177,139,36,11
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,511.6,9.47,21.06,65,103,45,496,137,183,89,20,37
"Aaron Voros","AARON.VOROS","09-10","NYR","L","L",1981-07-02,28,41,249.15,6.08,13.27,32,75,23,253,50,100,51,14,22
"Aaron Voros","AARON.VOROS","10-11","ANA","L","L",1981-07-02,29,12,66.32,5.53,12.25,21,18,8,68,26,27,15,5,5
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,997.92,15.59,34.26,105,222,136,696,228,353,293,72,53
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,998.48,15.6,33.82,117,201,149,701,252,330,310,48,55
"Aaron Ward","AARON.WARD","09-10","ANA","D","R",1973-01-17,36,17,212.88,12.52,26.63,19,50,25,176,40,75,41,9,14
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,880.27,14.92,33.2,106,195,121,720,228,283,231,48,57
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,549.68,13.41,28,67,101,50,467,189,158,135,33,38
"Adam Brooks","ADAM.BROOKS","19-20","TOR","C","L",1996-05-06,23,7,51.6,7.37,14.68,9,12,7,46,14,13,15,6,5
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,678.43,8.48,19.64,110,192,77,613,162,240,143,37,46
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,474.05,7.18,16.08,98,97,61,452,148,143,115,30,27
"Adam Burish","ADAM.BURISH","09-10","CHI","R","R",1983-01-06,26,13,112.07,8.62,18.49,20,21,16,104,36,32,32,9,6
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,747.53,11.87,25.75,115,194,246,530,177,263,381,49,38
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,65,688.6,10.59,22.35,107,161,137,540,184,223,246,51,37
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,46,418.13,9.09,19,61,90,92,431,103,132,158,29,37
"Adam Burish","ADAM.BURISH","13-14","S.J","R","R",1983-01-06,30,15,124.8,8.32,17.25,23,30,22,122,38,44,48,19,4
"Adam Burish","ADAM.BURISH","14-15","S.J","R","R",1983-01-06,31,20,190.03,9.5,19.49,23,45,46,189,36,60,78,17,15
"Adam Clendening","ADAM.CLENDENING","14-15","VAN","D","R",1992-10-26,21,17,255.53,15.03,31.09,37,51,26,232,73,72,62,24,12
"Adam Clendening","ADAM.CLENDENING","15-16","EDM","D","R",1992-10-26,22,20,285.2,14.26,29.88,30,41,30,274,78,67,75,26,21
"Adam Clendening","ADAM.CLENDENING","15-16","PIT","D","R",1992-10-26,22,9,111.85,12.43,27.15,21,30,11,90,42,46,26,6,13
"Adam Clendening","ADAM.CLENDENING","16-17","NYR","D","R",1992-10-26,23,31,437.03,14.1,28.17,113,86,33,360,188,136,90,40,38
"Adam Clendening","ADAM.CLENDENING","17-18","ARI","D","R",1992-10-26,24,5,76.33,15.27,30.44,7,16,7,71,20,28,24,10,5
"Adam Cracknell","ADAM.CRACKNELL","10-11","STL","R","R",1985-07-15,25,24,206.47,8.6,17.55,37,48,19,216,65,67,44,11,14
"Adam Cracknell","ADAM.CRACKNELL","12-13","STL","R","R",1985-07-15,27,20,170.95,8.55,17.62,25,35,19,187,36,46,41,15,7
"Adam Cracknell","ADAM.CRACKNELL","13-14","STL","R","R",1985-07-15,28,19,150.85,7.94,17.03,23,35,10,146,34,52,28,11,10
"Adam Cracknell","ADAM.CRACKNELL","14-15","CBJ","R","R",1985-07-15,29,17,157.47,9.26,19.65,25,43,22,129,43,59,47,12,10
"Adam Cracknell","ADAM.CRACKNELL","15-16","EDM","R","R",1985-07-15,30,8,82.98,10.37,21.54,8,11,18,67,21,15,35,11,7
"Adam Cracknell","ADAM.CRACKNELL","15-16","VAN","R","R",1985-07-15,30,44,503.5,11.44,23.82,71,99,79,429,121,153,146,31,46
"Adam Cracknell","ADAM.CRACKNELL","16-17","DAL","R","R",1985-07-15,31,69,676.03,9.8,20.22,114,162,74,643,180,223,179,74,60
"Adam Erne","ADAM.ERNE","16-17","T.B","L","L",1995-04-20,21,26,278.82,10.72,22.13,59,85,41,219,83,116,78,24,23
"Adam Erne","ADAM.ERNE","17-18","T.B","L","L",1995-04-20,22,23,228.2,9.92,20.57,53,68,24,184,75,88,62,23,12
"Adam Erne","ADAM.ERNE","18-19","T.B","L","L",1995-04-20,23,65,631.27,9.71,20.28,85,179,100,519,142,235,188,59,55
"Adam Erne","ADAM.ERNE","19-20","DET","L","L",1995-04-20,24,56,599.22,10.7,22.44,81,180,97,449,128,220,182,56,48
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,1096.78,17.41,40.09,107,292,164,857,255,442,342,57,80
"Adam Foote","ADAM.FOOTE","07-08","COL","D","R",1971-07-10,36,12,185.88,15.49,34.13,22,45,23,165,39,62,53,13,8
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,42,632.48,15.06,33.48,67,176,91,518,126,241,199,57,38
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,1058,15.79,34.02,139,258,156,836,273,392,289,51,66
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,679.37,14.45,31.02,77,178,121,539,149,239,215,38,52
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,70,1118.08,15.97,33.82,134,272,152,839,320,385,271,67,97
"Adam Gaudette","ADAM.GAUDETTE","17-18","VAN","C","R",1996-10-03,20,5,59.87,11.97,22.67,9,11,12,53,16,14,26,8,2
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,56,530.88,9.48,19.36,109,120,41,513,148,160,102,50,38
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,59,624.35,10.58,22.16,139,153,64,588,176,195,134,54,42
