"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0.72,13.31,4.36,10.89,31.59,66.45,9.8,13.07,38.13,0,2.18
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,0.79,15.19,4.54,7.94,21.56,65.81,6.81,17.02,32.9,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,2.38,48.18,1.32,7.28,49.66,28.8,2.32,11.26,73.82,0,0.33
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,2.34,51.1,0.96,10.56,43.18,28.47,3.52,16.63,62.38,0,0.96
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,2.07,45.58,0.89,6.67,35.14,41.37,1.78,8.9,54.27,0,0.44
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,1.6,23.7,2.96,5.91,18.73,53.23,2.96,15.77,23.66,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,1.36,26.81,0.8,4.01,32.09,42.51,2.41,8.82,42.51,0,0.8
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,2.5,34.83,0.84,8.83,21.01,54.63,3.36,15.13,29.42,0,0.84
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,1.77,28.29,1.81,7.85,33.82,50.73,3.02,13.89,45.29,0,0.6
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,2.4,38.32,0.78,10.14,23.8,36.29,2.34,18.73,37.07,0.39,0.39
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,142.9,2.23,37.01,0.42,4.2,35.27,26.45,2.52,9.66,54.16,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,138.35,2.34,35.04,2.6,6.07,28.62,50.31,3.47,13.88,38.6,0.43,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,223.73,2.8,37.09,2.15,19.04,33.52,42.64,4.02,23.6,39.96,0,0
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,120.92,1.83,28.28,1.49,6.95,58.05,46.15,2.48,12.4,70.46,0,0.5
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,122.9,1.95,32.6,0,8.3,53.7,27.83,2.44,11.23,74.21,0,0
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,1.48,24.25,1.93,4.51,49.01,42.56,1.93,7.09,63.19,0,0
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,43,58.72,1.37,25.72,3.07,8.17,37.81,61.31,4.09,15.33,47,0,1.02
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,296.2,4.7,65.85,1.01,10.33,23.09,14.79,3.04,22.89,50.03,0,0.41
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,150.93,3.68,53.9,1.19,8.75,33.39,23.85,1.99,12.72,53.27,0,0.4
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,177.88,2.65,45.08,1.35,5.4,35.08,38.79,2.7,10.79,47.9,0,0.67
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,132.95,2.83,46.89,0,5.87,41.07,32.49,1.35,8.57,55.51,0,0
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,149.33,3.25,46.63,1.21,24.51,34.55,26.12,3.21,27.72,50.63,0.4,0.4
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,187.87,2.54,33.41,1.92,6.71,62.92,45.35,2.24,9.26,74.73,0,0
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,227.73,2.78,45.96,2.11,8.96,52.43,40.05,2.37,11.86,65.87,0,0
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,161.5,2.83,50.05,0.37,9.66,55.36,28.24,1.86,12.26,72.82,0.37,0
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,236.03,2.95,44.73,1.53,7.63,48.04,40.67,3.05,10.93,55.67,0,1.27
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,72,130.87,1.82,33.38,1.83,6.42,34.84,54.56,2.29,10.09,47.68,0,0
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,72.88,1.74,33.29,3.29,13.17,37.05,59.28,4.12,17.29,41.16,0,0
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,166.42,2.16,38.56,2.16,8.29,36.05,55.88,2.88,11.9,45.07,0,0.36
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,74,138.72,1.87,32.54,1.73,7.79,46.71,40.66,2.6,10.38,62.72,0,0.43
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,78,207.98,2.67,47.55,1.15,6.35,49.91,32.02,2.02,9.23,69.81,0,0
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,183.95,2.24,42.92,0.98,5.87,49.58,33.6,2.61,12.72,65.89,0,1.3
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,55,57.18,1.04,19.77,2.1,6.3,23.08,83.95,4.2,8.39,26.23,0,0
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,69.62,3.03,45.62,1.72,11.2,61.19,26.72,3.45,13.79,74.98,0,2.59
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,79,88.73,1.12,19.49,2.03,4.73,54.1,67.62,2.7,6.76,64.92,0,2.03
"Adam Larsson","ADAM.LARSSON","14-15","N.J","D","R",1992-11-12,21,63,202.3,3.21,58.77,0.59,4.75,39.45,14.83,0.89,8.6,62.88,0,0
"Adam Larsson","ADAM.LARSSON","15-16","N.J","D","R",1992-11-12,22,80,271.03,3.39,60.31,1.55,7.53,38.08,19.48,3.54,11.51,64.42,0,0.44
"Adam Larsson","ADAM.LARSSON","16-17","EDM","D","R",1992-11-12,23,77,124,1.61,33.77,2.9,7.74,32.9,45,4.35,10.16,42.58,0,0
"Adam Larsson","ADAM.LARSSON","17-18","EDM","D","R",1992-11-12,24,61,150.13,2.46,47.73,1.2,7.59,39.97,36.77,3.2,12.79,55.15,0,0.8
"Adam Larsson","ADAM.LARSSON","18-19","EDM","D","R",1992-11-12,25,81,162.15,2,40.77,0.74,7.77,41.81,31.45,2.96,15.54,61.05,0.37,0.37
"Adam Larsson","ADAM.LARSSON","19-20","EDM","D","R",1992-11-12,26,47,78.42,1.67,35.86,0,3.83,42.08,32.9,1.53,6.12,63.5,0,0
"Adam Lowry","ADAM.LOWRY","14-15","WPG","L","L",1993-03-29,21,80,50.32,0.63,9.86,8.35,14.31,20.27,72.73,10.73,21.46,22.66,0,0
"Adam Lowry","ADAM.LOWRY","15-16","WPG","L","L",1993-03-29,22,73,154.17,2.11,36.6,1.17,9.73,46.7,39.31,2.34,11.68,61.49,0,0.39
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,80,179.33,2.24,41.79,2.68,9.37,55.54,33.79,3.01,13.38,71.93,0,0
"Adam Lowry","ADAM.LOWRY","17-18","WPG","L","L",1993-03-29,24,45,91.13,2.03,36.91,1.98,6.58,41.48,50.7,2.63,12.51,53.99,0.66,0.66
"Adam Lowry","ADAM.LOWRY","18-19","WPG","L","L",1993-03-29,25,75,175.83,2.34,45.09,0.34,12.97,53.23,34.12,0.68,17.06,67.91,0,0
"Adam Lowry","ADAM.LOWRY","19-20","WPG","L","L",1993-03-29,26,48,107.42,2.24,54.38,1.12,6.7,51.95,29.6,2.23,11.17,71.5,0,0.56
"Adam McQuaid","ADAM.MCQUAID","10-11","BOS","D","R",1986-10-12,23,67,95.78,1.43,27.82,0,9.4,26.94,48.86,1.88,15.66,40.09,0,0.63
"Adam McQuaid","ADAM.MCQUAID","11-12","BOS","D","R",1986-10-12,24,69,74.6,1.08,19.95,0.8,10.46,12.06,67.56,3.22,14.48,24.13,0,0
"Adam McQuaid","ADAM.MCQUAID","13-14","BOS","D","R",1986-10-12,26,29,54.38,1.88,33.71,2.21,6.62,33.1,46.34,5.52,16.55,45.24,0,0
"Adam McQuaid","ADAM.MCQUAID","14-15","BOS","D","R",1986-10-12,27,61,118.5,1.94,38.59,2.53,8.61,38.99,30.38,8.61,12.15,53.16,0,1.01
"Adam McQuaid","ADAM.MCQUAID","15-16","BOS","D","R",1986-10-12,28,61,154.63,2.53,44.9,0.78,8.92,39.19,21.34,5.04,14.74,61.31,0,0.39
"Adam McQuaid","ADAM.MCQUAID","16-17","BOS","D","R",1986-10-12,29,77,182.83,2.37,43.49,1.64,2.95,32.82,34.13,4.27,6.89,48.24,0,0.98
"Adam McQuaid","ADAM.MCQUAID","17-18","BOS","D","R",1986-10-12,30,36,77.6,2.16,40.43,0.77,7.73,35.57,31.7,2.32,14.69,53.35,0,0.77
"Adam McQuaid","ADAM.MCQUAID","18-19","NYR","D","R",1986-10-12,31,36,80.3,2.23,40.24,0.75,3.74,30.64,51.56,2.24,11.96,40.35,0,0
"Adam Pardy","ADAM.PARDY","08-09","CGY","D","L",1984-03-29,24,59,52.28,0.89,13.23,2.3,5.74,28.69,55.09,2.3,12.62,37.87,1.15,0
"Adam Pardy","ADAM.PARDY","09-10","CGY","D","L",1984-03-29,25,55,64.98,1.18,18.37,0,6.46,12,87.72,2.77,10.16,18.47,0,0
"Adam Pardy","ADAM.PARDY","13-14","WPG","D","L",1984-03-29,29,60,59.7,1,17.26,1.01,6.03,23.12,59.3,4.02,11.06,34.17,0,0
"Adam Pardy","ADAM.PARDY","14-15","WPG","D","L",1984-03-29,30,55,132.32,2.41,38.32,0.91,6.35,30.38,38.54,3.63,13.6,48.07,0,0.45
"Adam Pelech","ADAM.PELECH","17-18","NYI","D","L",1994-08-16,23,77,176.37,2.29,49.07,0.34,5.1,38.78,31.64,1.36,10.55,66.34,0,1.02
"Adam Pelech","ADAM.PELECH","18-19","NYI","D","L",1994-08-16,24,77,123,1.6,38.9,0,5.37,36.59,46.83,0.98,7.32,50.73,0,0.98
"Adam Pelech","ADAM.PELECH","19-20","NYI","D","L",1994-08-16,25,37,103.88,2.81,56.07,1.16,8.66,38.7,16.17,4.62,13.86,61.22,0,2.31
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,75,128,1.71,22.14,4.22,7.97,24.84,55.78,5.62,17.34,34.69,0,0.94
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,80,231.95,2.9,41.97,1.03,6.98,43.72,33.37,3.1,11.38,60.53,0.26,1.29
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,82,219.58,2.68,43.01,0.82,5.74,34.98,45.36,3.01,7.65,46.18,0,0.82
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,75,221.97,2.96,51.96,1.08,5.95,41.36,26.49,2.16,10,63.79,0,0.27
