"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,24.4,50.32,54.9,50.26,61.69,1.01,3.13,32.03,31.62,45.9,37.7,58.05,57.46,2.77,1.72,-2.12,0.41,8.2,0.59,1.05,3.15,90.1
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,67.51,40.8,39.72,39.84,39.38,4.01,1.93,49.3,71.53,64.22,97.45,83.7,126.37,3.41,5.25,2.08,-22.23,-33.23,-42.67,-1.84,8.13,97.3
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,33.44,49.06,50.64,48.87,47.84,2.05,4.08,44.8,46.51,60.88,59.34,77.28,80.84,3.43,3.74,-2.03,-1.71,1.54,-3.56,-0.31,4.58,91.23
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,49.84,51.9,52.84,52.68,48.39,6.07,6.11,116.46,107.95,162.68,145.19,200.83,180.43,7.2,7.68,-0.04,8.51,17.49,20.4,-0.48,5.21,94.34
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1485.73,56.64,54.34,53,53.63,54.58,58.66,44.9,801.06,673.11,1047.41,928.77,1371.42,1185.61,54.92,45.71,13.76,127.95,118.64,185.81,9.21,7.32,93.33
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1378.1,58.34,52.98,51.67,51.92,50.79,60.22,43,660.62,586.34,892.85,835.1,1131.38,1047.75,48.06,46.56,17.22,74.28,57.75,83.63,1.5,9.12,92.67
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1194.68,38.88,50.74,50.51,51.53,47.59,31.74,49.9,636.98,618.28,864.92,847.34,1132.68,1065.43,43.86,48.31,-18.16,18.7,17.58,67.25,-4.45,4.98,91.93
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1500,51.53,48.11,48.53,48.38,46.62,73.77,69.4,844.48,910.92,1157.4,1227.44,1463.75,1561.84,63.07,72.22,4.37,-66.44,-70.04,-98.09,-9.15,8.74,92.38
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1562.65,51.24,51.51,49.99,49.5,48.81,85.19,81.08,857.62,807.25,1132.26,1132.59,1452.99,1482.21,67.69,70.98,4.11,50.37,-0.33,-29.22,-3.29,9.93,89.96
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1268.28,54.75,53.16,53.3,53.14,49.91,71.36,58.98,711.22,626.69,927.03,812.16,1213.67,1070.09,52.6,52.78,12.38,84.53,114.87,143.58,-0.18,10.03,90.59
