"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0,0,0,0,1,1,3,0.01,0,0,1,4,1,3,1,1,0,1,0,0,1,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,1,0,0,1,3,3,5,0.18,33.33,33.33,6,4,2,1,1,3,2,1,0,0,-1,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,0,0,0,0,5,6,7,0.16,0,0,2.67,16,9,5,5,3,0,0,1,1,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,0,0,0,0,12,13,16,0.31,0,0,2.38,11,9,9,9,1,5,3,0,0,-2,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,0,1,0,1,6,7,9,0.1,0,0,1.43,8,6,4,4,3,3,0,0,0,-3,0,0,0
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,0,0,0,0,0,0,0,0,0,0,0,9,0,1,3,1,1,0,0,0,-1,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,0,0,0,0,0,0,0,0,0,0,0,12,0,1,9,3,2,0,0,0,-2,0,0,0
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,0,0,0,0,1,2,2,0.01,0,0,0.5,20,1,3,4,2,2,0,0,0,-2,0,0,0
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,0,1,0,0,1,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,0,0,0,0,2,2,2,0.01,0,0,0.5,30,0,0,12,2,2,1,0,0,-1,0,0,0
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,142.9,1,0,0,1,2,2,2,0.08,50,50,4,19,5,0,16,3,2,0,0,1,-1,0,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,138.35,0,0,1,1,1,1,1,0.01,0,0,1,25,2,0,16,4,1,1,0,0,0,0,0,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,223.73,1,0,0,1,6,7,9,0.48,16.67,14.29,6.86,35,1,4,4,5,6,5,1,1,-1,31,56,-25
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,120.92,0,0,0,0,6,8,8,0.56,0,0,7,17,0,4,2,4,2,0,0,0,-2,12,21,-9
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,122.9,0,0,0,0,6,7,8,0.32,0,0,4.57,19,0,2,1,2,1,0,0,0,-1,57,59,-2
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,0,0,0,0,3,4,7,0.33,0,0,8.25,17,3,4,1,0,2,1,0,0,-1,41,37,4
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,43,58.72,1,0,0,1,2,2,3,0.47,50,50,23.5,7,0,1,1,1,0,1,0,0,1,22,10,12
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,296.2,1,0,1,2,7,8,8,0.47,14.29,12.5,5.88,42,4,2,20,6,3,6,0,0,3,0,0,0
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,150.93,0,0,0,0,2,2,2,0.01,0,0,0.5,26,3,3,12,1,1,0,0,0,-1,0,0,0
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,177.88,0,1,0,1,0,0,2,0,0,0,0,21,3,4,22,2,4,2,0,0,-2,0,0,0
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,132.95,0,0,0,0,1,1,1,0.01,0,0,1,13,2,0,12,3,3,1,0,0,-2,0,0,0
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,149.33,0,0,0,0,3,5,5,0.24,0,0,4.8,13,1,1,2,1,1,0,0,0,-1,58,51,7
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,187.87,0,0,0,0,5,6,6,0.55,0,0,9.17,18,1,3,5,3,2,2,0,0,0,48,77,-29
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,227.73,0,0,0,0,9,9,10,0.34,0,0,3.78,18,6,9,3,3,1,4,0,0,3,77,96,-19
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,161.5,0,0,0,0,4,5,6,0.65,0,0,13,15,2,4,2,1,1,4,0,0,3,84,63,21
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,236.03,1,0,0,1,10,12,16,0.75,10,8.33,6.25,21,1,6,5,6,1,1,0,0,0,108,92,16
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,72,130.87,4,2,0,6,17,21,23,2.01,23.53,19.05,9.57,14,4,9,0,3,1,1,0,0,0,62,58,4
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,72.88,2,1,0,3,5,7,9,0.97,40,28.57,13.86,8,1,9,0,2,0,3,0,0,3,28,42,-14
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,166.42,3,2,0,5,14,18,20,1.45,21.43,16.67,8.06,9,0,11,3,0,0,1,0,0,1,48,54,-6
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,74,138.72,0,1,0,1,3,5,6,0.49,0,0,9.8,7,1,4,1,1,0,1,0,0,1,40,51,-11
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,78,207.98,2,1,0,3,10,14,17,2.3,20,14.29,16.43,16,1,9,3,3,1,1,0,0,0,70,94,-24
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,183.95,2,1,0,3,7,7,12,1.36,28.57,28.57,19.43,18,3,9,2,2,0,0,0,0,0,65,75,-10
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,55,57.18,1,0,0,1,9,9,10,0.75,11.11,11.11,8.33,4,2,5,0,0,0,0,0,0,0,10,12,-2
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,69.62,0,2,0,2,6,6,6,0.65,0,0,10.83,3,0,3,1,1,0,0,0,0,0,38,58,-20
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,79,88.73,0,1,0,1,4,7,8,0.3,0,0,4.29,6,1,5,1,1,0,2,0,0,2,51,39,12
"Adam Larsson","ADAM.LARSSON","14-15","N.J","D","R",1992-11-12,21,63,202.3,0,0,2,2,1,1,1,0.01,0,0,1,29,2,6,12,4,1,0,0,0,-1,0,0,0
"Adam Larsson","ADAM.LARSSON","15-16","N.J","D","R",1992-11-12,22,80,271.03,0,0,1,1,1,1,1,0,0,0,0,34,6,3,14,7,0,2,0,0,2,0,0,0
"Adam Larsson","ADAM.LARSSON","16-17","EDM","D","R",1992-11-12,23,77,124,0,0,0,0,3,3,3,0.02,0,0,0.67,25,3,3,19,0,1,2,1,1,1,0,0,0
"Adam Larsson","ADAM.LARSSON","17-18","EDM","D","R",1992-11-12,24,61,150.13,0,0,0,0,6,6,7,0.11,0,0,1.83,25,8,6,20,4,0,2,0,0,2,0,0,0
