"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,2.69,55.09,59.04,11.17,3.19,26.6,81.42,12.65,5.93,5,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,2.78,51.3,46.67,10.56,4.44,38.33,74.54,18.98,6.48,2,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,2.67,48.74,45.2,9.6,2.82,42.37,77.83,17.73,4.43,1,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,2.06,40.55,35.71,16.33,3.57,44.39,69.27,25.7,5.03,2,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,1.68,32.65,23.81,13.76,3.7,58.73,62.5,30.88,6.62,1,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,1.42,28.49,25,7.35,3.68,63.97,64.89,21.28,13.83,5,1,16.67
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,1.84,27.27,24.29,30,2.86,42.86,45.45,47.27,7.27,1,0,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,1.31,22.01,38.89,14.81,3.7,42.59,65.85,29.27,4.88,0,0,0
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,1.55,24.39,33.03,8.26,5.5,53.21,69.74,18.42,11.84,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,1.68,27.15,21.99,12.06,5.67,60.28,59.41,29.7,10.89,1,1,50
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,86.2,2.1,39.9,40.23,9.2,1.15,49.43,78.89,16.67,4.44,0,0,0
