"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,63.8,12.76,26.15,10.34,21.63,11.29,47.02,26.33,28.21,25.39,8.46,5.64
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,122.27,7.19,15.48,10.8,10.31,10.31,58.89,16.68,16.68,16.19,3.44,3.93
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,93.8,6.25,13.83,8.32,20.47,4.48,57.57,12.15,24.95,10.87,5.12,6.4
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,254.55,4.55,10.32,17.91,12.26,2.36,64.58,23.57,15.56,5.19,2.83,4.01
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1407.25,17.37,36.08,8.95,11.43,5.2,42.98,22.21,18.59,14.41,4.95,5.93
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1318.98,16.91,35.98,9.73,14.69,7.78,35.3,20.79,22.7,16.47,5.78,5.28
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1132.35,16.65,35.19,8.21,8.9,4.77,45.04,22.73,17.17,15.84,5.4,4.66
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1451.17,17.7,36.58,8.81,14.72,9.51,41.64,17.57,22.66,24.72,6.04,4.38
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1498.22,18.27,37.7,8.17,15.06,10.01,43.45,18.78,22.19,22.31,6.09,5.05
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1220.55,18.22,37.38,7.42,14.16,8.65,39.62,17.84,21.29,17.99,4.82,4.08
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,142.23,7.49,16.25,11.39,16.87,10.97,51.89,15.61,23.2,16.87,3.37,3.37
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,65.33,9.33,18.74,9.18,11.02,6.43,55.1,16.53,17.45,11.94,5.51,3.67
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,73.27,7.33,14.83,7.37,13.1,8.19,57.32,13.1,19.65,23.75,13.92,3.28
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,334.18,11.14,25.29,6.64,10.05,4.31,50.81,14.9,19.57,14,4.49,1.44
