"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,49,78.48,0,46.91,53.17,57.29,44.89,0,0.71,25.79,29.18,40.98,36.09,56.75,42.31,1.78,2.19,-0.71,-3.39,4.89,14.44,-0.41,0,97.56
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,39,53.45,50,55.37,52.5,53,44.55,2.26,2.26,32.86,26.48,44.12,39.92,55.24,48.99,2.16,2.68,0,6.38,4.2,6.25,-0.53,6.87,91.48
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,48,65.02,41.14,39.53,40.47,40.69,39.32,1.99,2.85,24.73,37.83,33.16,48.78,44.11,64.29,1.49,2.31,-0.86,-13.1,-15.62,-20.18,-0.81,8.06,92.46
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,55,51.52,50,55.79,52.5,56.88,54.31,2.52,2.52,35.32,27.99,48.87,44.21,61.35,46.51,3.45,2.9,0,7.34,4.66,14.84,0.55,7.12,91.01
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,53,51.02,100,63.04,59.67,62.71,56.51,3.82,0,37.91,22.23,51.98,35.14,70.8,42.1,2.7,2.08,3.82,15.69,16.84,28.69,0.62,10.08,100
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,58,57.08,73.13,58.72,58.43,55.72,41.13,3.09,1.14,34.06,23.95,46.72,33.25,59.32,47.13,2.22,3.17,1.96,10.11,13.48,12.18,-0.96,9.07,95.26
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,44,57,0,47.06,51.32,51.22,48.29,0,0.98,26,29.25,36.33,34.46,48.48,46.18,1.48,1.59,-0.98,-3.25,1.86,2.31,-0.11,0,96.65
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,52,56.65,100,55.71,50.32,52.82,57.09,0.98,0,31.76,25.25,37.11,36.64,50.75,45.33,3.16,2.37,0.98,6.51,0.48,5.42,0.78,3.1,100
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,59,84.48,50,49.07,50.04,48.66,46.75,1.32,1.32,29.63,30.76,42.94,42.88,51.92,54.78,2.24,2.56,0,-1.13,0.06,-2.86,-0.31,4.46,95.71
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,54,70.93,61.79,44.09,48.45,50.2,59.61,2.75,1.7,26.55,33.68,39.45,41.97,54.68,54.24,3.07,2.08,1.05,-7.12,-2.52,0.44,0.99,10.35,94.95
