"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"A.J. Greer","A.J..GREER","16-17","COL","L","L",1996-12-14,19,5,68.28,24.4,51.38,56,51.91,64.27,1.01,3.13,34.71,32.85,49.55,38.93,63.36,58.7,3.13,1.74,-2.12,1.86,10.62,4.66,1.39,2.91,90.47
"A.J. Greer","A.J..GREER","17-18","COL","L","L",1996-12-14,20,17,125.68,67.51,41.38,39.94,40.27,39.82,4.01,1.93,51.22,72.57,66.15,99.49,86.56,128.41,3.54,5.35,2.08,-21.35,-33.34,-41.85,-1.81,7.83,97.34
"A.J. Greer","A.J..GREER","18-19","COL","L","L",1996-12-14,21,15,94.02,33.44,49.06,50.64,48.87,47.84,2.05,4.08,44.8,46.51,60.88,59.34,77.28,80.84,3.43,3.74,-2.03,-1.71,1.54,-3.56,-0.31,4.58,91.23
"Aaron Downey","AARON.DOWNEY","07-08","DET","R","R",1974-08-27,33,56,256.93,45.78,51.85,52.61,52.36,46.99,6.07,7.19,118.58,110.11,164.81,148.45,202.96,184.66,7.26,8.19,-1.12,8.47,16.36,18.3,-0.93,5.12,93.47
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,1766.62,59.96,57.82,56.61,57.07,58.74,86.3,57.63,1024.1,747.21,1342.33,1028.68,1742.44,1310.56,81.86,57.49,28.67,276.89,313.65,431.88,24.37,8.43,92.29
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,78,1690.82,60.69,56.43,55.41,55.96,57.83,92.85,60.15,883.09,681.85,1193.09,960.11,1534.3,1207.24,82.79,60.38,32.7,201.24,232.98,327.06,22.41,10.51,91.18
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,68,1459.28,46.49,55.24,55.4,56.71,53,53.64,61.75,862.68,699.13,1167.8,940.17,1537.28,1173.32,68.38,60.63,-8.11,163.55,227.63,363.96,7.75,6.22,91.17
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,82,1917.9,53.04,48.15,48.85,48.87,47.7,115.16,101.95,1114.81,1200.56,1530,1601.91,1937.8,2027.05,104.15,114.21,13.21,-85.75,-71.91,-89.25,-10.06,10.33,91.51
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,1938.82,49.07,51.97,49.96,49.34,47.24,113.54,117.85,1080.3,998.39,1418.7,1420.88,1803.87,1851.93,93.74,104.7,-4.31,81.91,-2.18,-48.06,-10.96,10.51,88.2
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,1537.92,49.5,51.71,51.92,51.53,47.4,92.78,94.66,863.27,806.13,1123.48,1040.51,1464.26,1377.15,72.76,80.74,-1.88,57.14,82.97,87.11,-7.98,10.75,88.26
"Aaron Gagnon","AARON.GAGNON","10-11","DAL","C","R",1986-04-24,24,19,153.2,24.46,37.93,44.71,48.19,49.79,3.03,9.36,51.14,83.7,83.65,103.43,130.65,140.47,5.87,5.92,-6.33,-32.56,-19.78,-9.82,-0.05,5.92,88.82
"Aaron Gagnon","AARON.GAGNON","11-12","WPG","C","R",1986-04-24,25,7,66.13,0,52.16,56.62,54.81,56.98,0,0.99,31.79,29.16,53.59,41.06,71.93,59.3,2.98,2.25,-0.99,2.63,12.53,12.63,0.73,0,96.6
"Aaron Gagnon","AARON.GAGNON","12-13","WPG","C","R",1986-04-24,26,10,81.53,55.08,45.18,45.09,46.45,48.23,4.93,4.02,30.06,36.48,44.18,53.8,65.2,75.16,2.99,3.21,0.91,-6.42,-9.62,-9.96,-0.22,16.4,88.98
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,415.85,55.4,49.75,48.78,50.42,46.52,21.02,16.92,196.48,198.48,256.34,269.12,366.04,359.91,15.66,18,4.1,-2,-12.78,6.13,-2.34,10.7,91.48
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,537.38,63.43,45.37,47.53,47.25,45.97,26.68,15.38,227.33,273.77,324.98,358.78,411.04,458.94,18.42,21.65,11.3,-46.44,-33.8,-47.9,-3.23,11.74,94.38
"Aaron Johnson","AARON.JOHNSON","09-10","CGY","D","L",1983-04-30,26,22,267.93,48.03,52.41,52.93,53.05,51.01,10.97,11.87,142.15,129.1,200.4,178.2,262.16,231.97,10.63,10.21,-0.9,13.05,22.2,30.19,0.42,7.72,90.81
"Aaron Johnson","AARON.JOHNSON","09-10","EDM","D","L",1983-04-30,26,19,373.7,41.89,41.86,42.36,41.14,41.73,13.54,18.78,159.03,220.9,223.89,304.63,292.81,418.94,14.56,20.33,-5.24,-61.87,-80.74,-126.13,-5.77,8.51,91.5
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,56,924.4,41.12,45.69,46,45.26,49.78,34.98,50.09,408.57,485.71,552.15,648.22,726.29,878.35,36.98,37.31,-15.11,-77.14,-96.07,-152.06,-0.33,8.56,89.69
"Aaron Johnson","AARON.JOHNSON","12-13","BOS","D","L",1983-04-30,29,10,148.7,44.29,57.85,57.7,58.18,53.63,3.88,4.88,78.34,57.07,112.02,82.11,157.85,113.45,5.98,5.17,-1,21.27,29.91,44.4,0.81,4.95,91.45
"Aaron MacKenzie","AARON.MACKENZIE","08-09","COL","D","L",1981-03-07,27,5,73.17,51.44,54.29,52.49,47.7,43.09,1.07,1.01,32.52,27.38,46.58,42.16,56.91,62.41,1.62,2.14,0.06,5.14,4.42,-5.5,-0.52,3.29,96.31
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,988.18,40.32,40.03,39.9,39.78,40.01,32.04,47.43,343.17,514.14,478.65,720.95,630.88,955.04,27.6,41.39,-15.39,-170.97,-242.3,-324.16,-13.79,9.34,90.77
