"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,221.43,6,1,6,13,38,56,81,3.17,15.79,10.71,5.66,2,2,3,5,6,2,0,0,0,-2,0,0,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,218.35,2,2,3,7,36,51,77,3.29,5.56,3.92,6.45,1,3,1,5,9,2,0,0,0,-2,0,0,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,187.3,4,1,3,8,62,76,115,4.37,6.45,5.26,5.75,0,4,1,3,5,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,173.42,5,2,4,11,32,48,77,3.53,15.62,10.42,7.35,4,9,2,3,13,2,1,0,0,-1,0,0,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,138,5,2,3,10,37,42,56,2.88,13.51,11.9,6.86,0,8,0,3,4,0,0,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.9,0,4,2,6,17,21,30,0.84,0,0,4,0,1,1,0,0,1,0,0,0,-1,0,0,0
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,0,0,1,1,2,3,10,0.09,0,0,3,2,2,2,4,1,0,0,0,0,0,0,0,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,74.55,0,1,0,1,10,16,18,2.22,0,0,13.88,0,2,0,4,5,1,2,0,0,1,1,2,-1
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,84.2,3,0,0,3,16,21,23,2.62,18.75,14.29,12.48,1,1,1,5,9,3,0,0,0,-3,0,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,106.32,0,0,3,3,15,20,25,0.8,0,0,4,3,0,0,3,4,0,0,0,0,0,0,0,0
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,87.02,0,1,1,2,13,16,23,0.7,0,0,4.38,2,0,0,2,2,0,0,0,0,0,0,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,136.88,1,7,5,13,23,32,46,1.6,4.35,3.12,5,3,8,4,2,2,1,3,0,0,2,0,0,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.63,0,1,1,2,9,16,18,1.34,0,0,8.38,0,1,0,0,5,0,0,0,0,0,12,13,-1
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.62,4,1,7,12,14,21,25,2.04,28.57,19.05,9.71,0,2,2,0,1,1,0,0,0,-1,28,44,-16
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.5,0,4,4,8,10,17,19,1.81,0,0,10.65,1,1,3,2,5,0,0,0,0,0,33,28,5
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,110.3,3,1,0,4,16,25,30,2.48,18.75,12,9.92,0,5,0,0,2,1,0,0,0,-1,40,49,-9
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.45,7,2,3,12,24,29,34,3.57,29.17,24.14,12.31,0,7,2,2,4,2,1,0,0,-1,62,79,-17
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,73,128.9,5,6,5,16,15,24,29,3.25,33.33,20.83,13.54,1,5,0,2,4,2,0,0,0,-2,33,22,11
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,206.1,7,3,2,12,25,31,37,3.75,28,22.58,12.1,0,6,2,6,8,0,2,0,0,2,83,89,-6
