"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,53.42,0.69,13.51,3,10,25,61,7,12,30,0,2
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.12,0.78,15.56,4,7,19,57,6,15,29,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,173.17,2.28,47.93,4,22,143,87,7,34,208,0,1
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,184.72,2.31,52.49,3,33,132,87,11,52,192,0,3
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,133.22,2.05,45.7,2,15,77,93,4,19,119,0,1
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,57.12,1.5,24.02,3,6,17,51,3,15,22,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,73.5,1.34,27.58,1,5,39,52,3,11,51,0,1
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,136.15,2.39,35.07,2,19,47,122,8,33,64,0,2
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,97.13,1.73,29.09,3,13,54,82,5,23,73,0,1
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,147.85,2.31,38.8,2,26,57,90,6,46,90,1,1
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,137.72,2.15,38.09,1,10,80,61,6,23,122,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,132.57,2.25,34.87,6,13,62,114,8,31,81,1,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,217.52,2.72,37.39,7,70,119,155,14,85,141,0,0
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,119.17,1.81,29.71,3,14,117,91,5,24,142,0,1
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,121.9,1.93,33.19,0,17,107,56,5,23,147,0,0
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,1.48,25.24,3,7,76,66,3,11,98,0,0
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,42,58.67,1.4,27.28,3,8,35,60,4,15,44,0,1
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,282.18,4.48,66.54,5,50,105,73,15,107,226,0,2
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,143.1,3.49,52.92,3,20,79,60,5,30,124,0,1
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,171.18,2.55,44.97,4,16,97,113,8,32,131,0,2
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,127.87,2.72,46.55,0,13,86,72,3,19,114,0,0
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,143.82,3.13,46.98,3,58,81,61,8,66,117,1,1
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,181.77,2.46,34.42,6,20,189,138,7,28,222,0,0
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,219,2.67,45.99,8,33,189,151,9,44,235,0,0
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,149.32,2.62,48.56,0,26,137,76,4,32,172,1,0
"Adam Hall","ADAM.HALL","13-14","PHI","R","R",1980-08-14,33,80,227.05,2.84,44.25,6,28,180,160,11,41,202,0,4
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,72,130.22,1.81,34.54,3,14,76,119,4,22,104,0,0
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,67.25,1.6,32.1,4,15,41,70,5,20,45,0,0
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,161.75,2.1,38.22,6,21,98,154,8,31,120,0,1
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,74,133.13,1.8,32.64,4,18,103,88,6,24,138,0,1
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,77,201.77,2.62,47.36,4,21,166,108,7,31,229,0,0
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,82,173.3,2.11,42.37,3,15,145,101,7,33,191,0,4
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,55,56.28,1.02,20.18,2,6,21,78,4,8,24,0,0
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,67.77,2.95,45.47,2,13,68,31,4,15,83,0,3
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,79,88.17,1.12,19.76,3,7,78,100,4,10,94,0,3
"Adam Larsson","ADAM.LARSSON","14-15","N.J","D","R",1992-11-12,21,63,193.33,3.07,58.36,2,15,125,48,3,28,196,0,0
"Adam Larsson","ADAM.LARSSON","15-16","N.J","D","R",1992-11-12,22,79,264.32,3.35,60.34,7,34,169,86,14,52,283,0,2
"Adam Larsson","ADAM.LARSSON","16-17","EDM","D","R",1992-11-12,23,77,118.53,1.54,33.78,6,14,63,91,9,19,81,0,0
"Adam Larsson","ADAM.LARSSON","17-18","EDM","D","R",1992-11-12,24,61,146.9,2.41,47.6,2,19,98,92,7,32,133,0,2
"Adam Larsson","ADAM.LARSSON","18-19","EDM","D","R",1992-11-12,25,81,159.5,1.97,40.9,2,21,110,85,8,42,160,1,1
"Adam Larsson","ADAM.LARSSON","19-20","EDM","D","R",1992-11-12,26,46,76.32,1.66,36.08,0,5,53,42,1,8,81,0,0
"Adam Lowry","ADAM.LOWRY","15-16","WPG","L","L",1993-03-29,22,73,147.13,2.02,36.01,3,23,116,99,6,28,150,0,1
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,80,167.27,2.09,40.54,7,27,151,98,8,37,196,0,0
"Adam Lowry","ADAM.LOWRY","17-18","WPG","L","L",1993-03-29,24,45,86.82,1.93,36.53,3,8,62,75,4,15,78,1,1
