"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS%","NZS%","DZS%","OTF%","OZF%","NZF%","DZF%","Ice_F","Ice_A","Ice%"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0.72,13.31,3.85,9.62,27.88,58.65,16.07,21.43,62.5,0,2,100
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,0.79,15.19,4.55,7.95,21.59,65.91,12,30,58,0,0,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,2.38,48.18,1.52,8.37,57.03,33.08,2.65,12.88,84.47,0,1,100
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,2.34,51.1,1.15,12.69,51.92,34.23,4.26,20.16,75.58,0,3,100
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,2.07,45.58,1.06,7.94,41.8,49.21,2.74,13.7,83.56,0,1,100
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,1.6,23.7,3.66,7.32,23.17,65.85,6.98,37.21,55.81,0,0,0
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,1.36,26.81,1.01,5.05,40.4,53.54,4.48,16.42,79.1,0,1,100
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,2.5,34.83,0.99,10.34,24.63,64.04,7.02,31.58,61.4,0,2,100
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,1.77,28.29,1.92,8.33,35.9,53.85,4.85,22.33,72.82,0,1,100
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,2.4,38.32,1.1,14.29,33.52,51.1,4.03,32.21,63.76,1,1,50
"Aaron Ward","AARON.WARD","08-09","BOS","D","R",1973-01-17,35,64,142.9,2.23,37.01,0.63,6.33,53.16,39.87,3.8,14.56,81.65,0,0,0
"Aaron Ward","AARON.WARD","09-10","CAR","D","R",1973-01-17,36,59,138.35,2.34,35.04,2.97,6.93,32.67,57.43,6.2,24.81,68.99,1,0,0
"Adam Burish","ADAM.BURISH","07-08","CHI","R","R",1983-01-06,24,80,223.73,2.8,37.09,2.2,19.56,34.44,43.8,5.95,34.92,59.13,0,0,0
"Adam Burish","ADAM.BURISH","08-09","CHI","R","R",1983-01-06,25,66,120.92,1.83,28.28,1.32,6.17,51.54,40.97,2.91,14.53,82.56,0,1,100
"Adam Burish","ADAM.BURISH","10-11","DAL","R","R",1983-01-06,27,63,122.9,1.95,32.6,0,9.24,59.78,30.98,2.78,12.78,84.44,0,0,0
"Adam Burish","ADAM.BURISH","11-12","DAL","R","R",1983-01-06,28,63,93.05,1.48,24.25,1.97,4.61,50,43.42,2.68,9.82,87.5,0,0,0
"Adam Burish","ADAM.BURISH","12-13","S.J","R","R",1983-01-06,29,43,58.72,1.37,25.72,2.78,7.41,34.26,55.56,6.15,23.08,70.77,0,1,100
"Adam Foote","ADAM.FOOTE","07-08","CBJ","D","R",1971-07-10,36,63,296.2,4.7,65.85,2.06,20.99,46.91,30.04,4,30.13,65.87,0,2,100
"Adam Foote","ADAM.FOOTE","08-09","COL","D","R",1971-07-10,37,41,150.93,3.68,53.9,1.78,13.02,49.7,35.5,2.92,18.71,78.36,0,1,100
"Adam Foote","ADAM.FOOTE","09-10","COL","D","R",1971-07-10,38,67,177.88,2.65,45.08,1.67,6.69,43.51,48.12,4.4,17.58,78.02,0,2,100
"Adam Foote","ADAM.FOOTE","10-11","COL","D","R",1971-07-10,39,47,132.95,2.83,46.89,0,7.39,51.7,40.91,2.07,13.1,84.83,0,0,0
"Adam Hall","ADAM.HALL","07-08","PIT","R","R",1980-08-14,27,46,149.33,3.25,46.63,1.4,28.37,40,30.23,3.94,33.99,62.07,1,1,50
"Adam Hall","ADAM.HALL","08-09","T.B","R","R",1980-08-14,28,74,187.87,2.54,33.41,1.64,5.74,53.83,38.8,2.59,10.74,86.67,0,0,0
"Adam Hall","ADAM.HALL","10-11","T.B","R","R",1980-08-14,30,82,227.73,2.78,45.96,2.04,8.65,50.64,38.68,2.96,14.8,82.24,0,0,0
"Adam Hall","ADAM.HALL","11-12","T.B","R","R",1980-08-14,31,57,161.5,2.83,50.05,0.4,10.32,59.13,30.16,2.14,14.1,83.76,1,0,0
