"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,77,55.08,0,12.13,15.75,16.35,11.58,0,7.47,6.95,50.34,11.58,61.96,15,76.76,0.72,5.49,-7.47,-43.39,-50.38,-61.76,-4.77,0,85.15
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,52.88,20.73,20.36,19.1,20.76,16.32,1.23,4.69,13.3,52,14.38,60.91,18.7,71.37,0.9,4.6,-3.46,-38.7,-46.53,-52.67,-3.7,9.22,90.99
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,76,181.25,25,15.53,16.74,14.6,12.57,2.05,6.15,13.15,71.5,18.44,91.71,19.51,114.15,1.28,8.93,-4.1,-58.36,-73.27,-94.64,-7.65,15.59,91.4
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,80,187.57,9.58,30.5,25.27,22.31,17.07,0.7,6.58,18.18,41.41,21.11,62.41,23.54,81.97,1.09,5.32,-5.89,-23.24,-41.3,-58.44,-4.22,3.84,84.1
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,65,134.87,7.45,22.51,21.41,19.08,16.75,0.89,11.06,17.88,61.53,21.56,79.16,23.89,101.33,1.72,8.54,-10.17,-43.66,-57.6,-77.44,-6.82,4.98,82.03
"Aaron Johnson","AARON.JOHNSON","08-09","CHI","D","L",1983-04-30,25,38,60.87,14.4,10,11.21,10.54,10.71,0.86,5.1,6.2,55.83,10.53,83.42,12.53,106.36,0.84,6.99,-4.24,-49.63,-72.89,-93.83,-6.15,13.83,90.87
"Aaron Johnson","AARON.JOHNSON","11-12","CBJ","D","L",1983-04-30,28,55,74.8,0,8.07,6.89,9.04,4.1,0,6.74,4.52,51.52,5.29,71.41,9.13,91.81,0.23,5.45,-6.74,-47,-66.13,-82.68,-5.21,0,86.92
"Aaron Miller","AARON.MILLER","07-08","VAN","D","R",1971-08-11,36,57,142.77,7.33,9.78,9.42,8.04,6.06,0.5,6.27,5.3,48.9,6.91,66.48,8.18,93.5,0.35,5.48,-5.77,-43.6,-59.57,-85.32,-5.12,9.36,87.19
"Aaron Rome","AARON.ROME","10-11","VAN","D","L",1983-09-27,26,56,99.35,0,13.58,14.2,14.25,11.6,0,5.76,8.04,51.15,11.66,70.42,14.2,85.49,0.81,6.17,-5.76,-43.11,-58.77,-71.28,-5.36,0,88.75
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,64,153.78,4.24,12.62,9.94,9.55,4.32,0.34,7.67,8.15,56.43,8.57,77.67,10.48,99.27,0.32,7.08,-7.33,-48.28,-69.1,-88.8,-6.76,4.16,86.41
